,키워드,빈도
393,삼성전자,38
391,삼성,23
117,TV,17
365,부회장,15
611,제품,13
141,갤럭시,12
102,LG전자,12
194,구매,11
692,충전,11
653,징역,11
742,평균,10
429,수익,9
110,QNED,9
589,전장,9
477,어댑터,9
471,애플,9
224,기업,8
381,사업,8
722,투자자,8
624,주식,8
720,투자,8
671,최고,7
226,기준,7
542,이어폰,7
621,주가,7
735,판매,7
434,스마트폰,7
619,종목,7
476,어댑,7
145,거래,7
166,계좌,6
51,30대,6
799,회사,6
788,혜택,6
231,내년,5
806,효도,5
539,이름,5
238,뇌물,5
296,모델,5
357,부사장,5
701,코로나19,5
734,판단,5
655,차세대,5
731,파기,5
100,LED,5
419,세대,5
198,구형,5
663,청탁,5
609,제외,5
412,선고,5
424,소비자,5
312,미래,5
134,개인,5
258,대통령,5
375,사건,5
747,포함,5
548,이재용,5
705,코스피,5
30,2,5
397,상승,5
163,경쟁,4
276,마감,4
443,시장,4
364,부품,4
535,이달,4
739,패키지,4
161,경영,4
534,이날,4
233,노트,4
725,특검,4
430,수익률,4
642,지원,4
113,S21,4
99,LCD,4
101,LG,4
109,QLED,4
556,자동차,4
442,시작,4
503,외국인,4
481,업체,4
310,미국,4
493,연중,4
191,교체,4
771,할인,4
189,광고,4
764,하만,4
800,회장,4
783,혐의,4
221,기소,4
220,기본,4
237,농단,3
638,지급,3
250,대금,3
337,배터리,3
136,개인투자자,3
651,집중,3
322,박스,3
338,버즈,3
709,퀀텀닷,3
132,개설,3
252,대법원,3
636,증시,3
392,삼성디스플레이,3
787,형태,3
689,출시,3
318,바이오,3
530,의미,3
791,화질,3
803,회전율,3
246,단자,3
347,별도,3
125,가치,3
144,갤럭시북,3
796,환송심,3
203,국정,3
345,변동,3
586,전자,3
378,사상,3
235,노트북,3
585,전원,3
389,사회,3
551,인수,3
647,진술,3
618,종가,3
212,금액,3
211,글로벌,3
565,장세,3
570,재판부,3
607,제공,3
436,승계,3
682,최후,3
456,신풍제약,3
271,디스플레이,3
439,시대,3
516,원어치,3
613,조언,3
274,라이브,3
289,먹거리,3
85,8만,3
71,5조,3
450,신규,3
566,장충기,3
366,분야,3
533,이건희,3
726,특검팀,3
462,아버님,3
464,아이폰,3
406,샤오미,3
627,주장,3
121,가격,3
264,돌파,3
284,매매,3
466,아카데미,3
431,수장,3
37,20대,3
386,사장,2
222,기술명,2
210,근거,2
218,기기,2
547,이익,2
659,참회,2
657,차장,2
216,기간,2
243,다짐,2
229,나노셀,2
600,정보,2
359,부서,2
301,무료,2
302,무선,2
305,무죄,2
306,묵시,2
603,정준영,2
311,미니,2
313,미래전략실장,2
571,재판장,2
379,사실,2
319,박근혜,2
596,절반,2
321,박상진,2
572,저점,2
591,전장사업팀,2
578,전기차,2
342,법인,2
581,전략실,2
608,제약,2
294,명칭,2
614,조직,2
615,존경,2
486,여파,2
554,일체,2
635,증권사,2
633,증가,2
260,대표적,2
558,자리,2
560,자세,2
267,동일,2
268,동학개미,2
207,그동안,2
270,디스,2
625,주식시장,2
622,주도,2
278,마음,2
285,매수,2
563,작업,2
287,매수액,2
208,그룹,2
409,서울고법,2
89,9개월,2
205,규모,2
757,플랫폼,2
65,50%,2
