,키워드,빈도
78,소비,18
154,파트너,8
132,중국,7
145,코로나19,6
13,TV,6
62,보복,5
162,한국경제,5
127,종목,5
52,매출,5
143,추천,4
159,폭발적,4
134,증가,3
116,전망,3
73,상황,3
82,수혜,3
161,한국,3
30,관측,3
167,화장품,3
17,감소,2
10,NHN,2
126,제품,2
65,브이티지엠피,2
53,문화,2
3,C&C,2
67,사업,2
45,덕분,2
6,F&F,2
100,온라인,2
15,가능성,2
9,LG생활건강,2
0,10%,2
12,SM,2
29,관광,2
163,한국화장품제조,2
152,파라다이스,2
83,수혜주,2
119,전염병,1
103,우한지역,1
98,예측,1
122,정상화,1
121,점화,1
104,유일,1
105,유통망,1
120,전자결제시장,1
99,오프라인,1
106,의류패션,1
107,의존도,1
108,이달,1
118,전반,1
109,이목,1
117,전문가,1
115,전력,1
114,적극,1
113,장기,1
102,요동,1
112,자릿수,1
111,자리,1
123,제시,1
110,일각,1
101,왕훙,1
135,증권업계,1
124,제외,1
157,포트폴리오,1
149,트래픽,1
150,트렌드,1
151,특수,1
153,파이오링크,1
155,판매,1
156,편의점,1
158,폭발,1
125,제이콘텐트리,1
160,한강공원,1
164,한한령,1
165,해제,1
166,호텔신라,1
168,확장,1
169,회복,1
148,탄력,1
147,콜라보,1
146,콘텐츠,1
144,카지노,1
142,진정세,1
141,진정국면,1
140,지트리비앤티,1
139,지역,1
138,지분,1
137,지난달,1
136,증명,1
96,영화들,1
133,중단,1
131,주인,1
130,주력,1
129,주가,1
128,종식,1
97,예상,1
85,시작,1
95,연휴,1
27,고조,1
31,교통량,1
32,구매,1
33,구조,1
34,극장,1
35,급속,1
36,급증,1
37,기간,1
38,기대감,1
39,기업,1
40,기여,1
41,기점,1
42,나들이객,1
43,노동절,1
44,뉴욕타임스,1
46,동시,1
28,공략,1
26,경제,1
48,롯데백화점,1
25,결제시스템,1
2,BTS,1
4,CGV,1
5,CJ,1
7,GS,1
8,GS리테일,1
11,PLUS,1
14,YG,1
16,갈증,1
18,감소세,1
19,감소폭,1
20,강제,1
21,개봉,1
22,개선,1
23,건강의료,1
24,결제,1
47,로레알,1
49,리테일,1
94,연결,1
74,설명,1
76,성장세,1
77,소강국면,1
79,쇼핑몰,1
80,수준,1
81,수출입,1
84,스포츠,1
1,41.17%,1
86,시장,1
87,신장,1
88,신현식,1
89,실적,1
90,아공,1
91,아이티엠반도체,1
92,양태원,1
93,업종,1
75,성장,1
72,상승,1
50,마케팅,1
71,산업,1
51,매장,1
54,바탕,1
55,박완필,1
56,박윤진,1
57,반등,1
58,반색,1
59,반영,1
60,발원지,1
61,백화점,1
63,보유,1
64,본격적,1
66,비대면,1
68,사이버,1
69,사치품,1
70,사태,1
170,회장,1
