,키워드,빈도
495,애플,92
904,현대차,58
383,삼성전자,35
640,자동차,33
556,우선주,28
162,구매,27
673,전기차,25
601,이벤트,22
707,제품,21
700,제공,19
192,기업,18
348,브랜드,18
626,인텔,17
329,보통주,16
920,혜택,16
488,아이폰,16
832,테슬라,16
128,고객,14
87,가능성,14
939,회장,14
761,진행,13
709,제휴,13
844,투자,13
903,현대,12
735,중국,12
925,홍하이,12
862,페스타,12
432,세일,12
901,혁신,11
652,자율,11
310,바이두,11
767,참여,11
233,대만,11
378,삼성,10
732,주행,10
509,업체,10
379,삼성닷컴,10
589,응원,10
746,지리,10
443,소프트웨어,10
710,제휴설,9
718,주가,9
74,OS,8
312,반도체,8
897,행사,8
210,노조,8
916,협업,8
396,생산,8
473,시장,8
913,협상,8
158,구글,8
657,자체,8
783,최고,7
619,인사이드,7
936,회사,7
704,제조,7
301,미국,7
794,추가,7
926,확대,7
195,기준,7
196,기회,7
919,형태,7
79,TV,7
674,전략,7
317,배달,6
392,상황,6
182,글로벌,6
849,특가,6
381,삼성디스플레이,6
912,협력,6
439,소상공인,6
765,차이,6
496,애플카,6
922,혼수,6
274,말씀,6
716,종목,6
653,자율주행,6
784,최고경영자,6
734,준비,6
135,공개,6
415,설명,6
397,생태,6
119,경영자,5
197,기획,5
857,판매,5
114,결국,5
345,분야,5
736,중심,5
394,생각,5
621,인수,5
470,시대,5
807,측면,5
234,대비,5
560,운용사,5
593,의미,5
596,이날,5
309,바이,5
452,수준,5
788,최대,5
885,할인,5
244,댓글,5
796,추정,5
605,이야기,5
211,노트북,4
7,100만,4
93,가치,4
895,핵심,4
157,교체,4
607,이외,4
647,자산,4
694,정도,4
322,버전,4
854,파워드,4
271,마련,4
285,메시지,4
363,사람들,4
542,완성,4
433,세탁기,4
864,평가,4
90,가전,4
875,플랫폼,4
508,업종,4
830,탑재,4
427,세계,4
519,여지,4
240,대표,4
702,제안,4
503,언급,4
462,스마트폰,4
537,오프라인,4
881,하청생산,4
866,포인트,4
507,업계,4
117,경영,4
752,지원,3
772,체결,3
278,매장,3
228,단체협약,3
754,지참,3
472,시작,3
323,번째,3
191,기간,3
825,클럽,3
533,예비,3
534,예상,3
727,주주,3
290,모델,3
184,금액대,3
651,자신들,3
183,금액,3
501,얘기,3
205,내부,3
531,영상,3
738,중요,3
635,입장,3
743,증시,3
797,추첨,3
238,대우증권,3
809,친구,3
632,일주일,3
321,배터리,3
243,대한민국,3
802,출자,3
813,캠핑카,3
477,신혼부부,3
516,여가,3
643,자리,3
513,엔비디아,3
747,지리자동차,3
790,최원석,3
209,노사,3
351,블록버스터,3
476,신라호텔,3
311,박현주,3
206,냉장고,3
325,변화,3
258,디지털프라자,3
259,디코드,3
