,키워드,빈도
439,인텔,55
289,삼성전자,50
77,TSMC,33
295,생산,32
244,반도체,26
78,TV,19
144,공정,18
488,제품,14
230,모니터,13
67,M7,12
287,삼성,12
566,파운드리,12
328,스마트,11
330,스마트폰,11
394,외주,10
347,실적,10
376,연결,10
239,물량,9
380,영업,8
224,매출,7
554,탑재,7
431,이익,7
430,이용,7
540,출시,6
59,CPU,6
280,사업부,6
368,업체,6
381,영업이익,6
2,10nm,6
547,코두리,6
264,부사장,6
611,화면,6
608,협의,6
500,주문,6
94,가능,6
391,외부,5
163,기기,5
180,느낌,5
467,전문,5
367,업계,5
364,얘기,5
498,주가,5
237,무선,5
93,가격,5
57,CEO,5
285,사진,4
252,방안,4
62,GPU,4
272,블룸버그,4
260,보도,4
53,AMD,4
0,,4
340,시장,4
363,양산,4
516,지원,4
466,전망,4
25,3분기,4
411,위탁생산,4
612,화질,4
382,영향,4
331,스완,4
318,수주,4
615,활용,3
166,기본,3
548,코로나19,3
167,기사,3
619,회사,3
594,핵심,3
127,고객,3
577,평가,3
187,대만,3
106,갤럭시,3
203,동일,3
292,상황,3
544,카드,3
503,주장,3
302,설계,3
448,자체,3
410,위탁,3
384,예상,3
279,사업,3
361,애플,3
282,사용,3
309,세컨드,3
307,세계,3
240,미국,3
313,소형,3
44,7nm,3
70,OTT,3
17,2023년,3
71,PC,3
571,판매,2
326,숫자,2
185,단계,2
221,마케팅,2
45,7나노,2
147,관측,2
570,파운드리업체,2
172,나노미터,2
323,수탁생산,2
296,생산능력,2
574,팹리스,2
333,스탠드,2
418,유저,2
335,스피커,2
578,평면,2
303,설명,2
581,포트,2
457,장점,2
49,8일,2
225,멀티,2
157,글로벌,2
545,컨퍼런스콜,2
546,컴퓨터,2
175,내장,2
209,라인,2
1,0.5%,2
171,꽃놀이패,2
517,지적,2
435,인치,2
316,수석,2
552,타격,2
317,수요,2
11,1조,2
213,로버트,2
515,지연,2
436,인터넷,2
161,긍정적,2
558,트랜지스터,2
426,이름,2
560,트렌드,2
338,시설,2
339,시작,2
606,협력,2
489,제품군,2
108,거래,2
395,외주생산,2
193,대형,2
610,호황,2
365,언급,2
299,서비스,2
613,확산,2
531,최대,2
197,덱스,2
396,요소,2
477,절반,2
95,가능성,2
372,여부,2
251,방식,2
485,제목,2
484,제국,2
