,키워드,빈도
28,공장,13
44,배터리,8
15,가동,8
97,중단,7
60,스마트폰,5
80,인도,5
52,생산,4
50,삼성전자,4
49,삼성SDI,3
103,총리,3
108,폐쇄,3
100,지침,3
87,전국,3
35,노이다,3
29,기간,3
40,모디,3
42,미국,3
10,LG화학,3
9,LG전자,3
43,미시간주,3
7,3주,3
119,현지,3
53,생산량,3
46,봉쇄령,3
41,물량,2
88,전기차,2
102,차질,2
90,정부,2
106,코로나19,2
68,여파,2
3,21일,2
111,포함,2
4,23일,2
65,업계,2
5,25일,2
8,LG,2
11,SK이노베이션,2
77,이날,1
91,정상,1
76,운영,1
85,자리,1
78,인구,1
84,자가격리,1
89,전용,1
79,인근,1
81,인도정부,1
82,일괄,1
86,자정,1
83,일시적,1
0,14일,1
98,중저가,1
92,제외,1
93,조지아주,1
120,현지시간,1
118,현대,1
117,헝가리,1
116,행정명령,1
115,핵심,1
114,플래그십,1
113,푸네,1
112,폴란드,1
110,포스코,1
109,폐쇄조치,1
107,코로나바이러스,1
105,출시,1
104,최대,1
101,직원들,1
99,지연,1
74,오번힐스,1
96,주민들,1
95,종사자,1
94,조치,1
75,완성,1
61,슬픔,1
73,예정,1
72,영향,1
33,나렌드라,1
32,긴급,1
31,기업,1
30,기아자동차,1
27,공급,1
26,고객사,1
25,경고,1
24,건설,1
23,갤럭시S20,1
22,갤럭시M,1
21,갤럭시A,1
20,갤럭시,1
19,감축,1
18,감염증,1
17,가족,1
16,가동중단,1
14,가능성,1
13,가능,1
12,TV,1
6,3분,1
2,21년,1
34,내수,1
36,뉴델리,1
37,다음달,1
59,수준,1
71,연장,1
70,연설,1
69,연간,1
67,업체,1
66,업무,1
64,실적,1
63,신종,1
62,시련,1
1,1억,1
58,수주,1
38,대국민연설,1
57,수도,1
56,세계,1
55,생활가전,1
54,생상공장,1
51,생각,1
48,삼성,1
47,사업장,1
45,봉쇄,1
39,모델,1
121,홀랜드,1
