,키워드,빈도
34,낸드,16
11,SK하이닉스,9
74,예상,4
109,투자,4
73,연구원,4
72,업황,4
48,반등,4
58,설명,3
20,격차,3
64,수요,3
14,가격,3
23,공격적,2
45,바닥,2
33,기업,2
53,사업,2
32,기대감,2
56,상황,2
91,제조사,2
59,설비,2
89,전환,2
54,삼성전자,2
106,키움증권,2
92,제품,2
107,턴어라운드,2
22,계획,2
69,양산,2
2,17만,2
3,2분기,2
18,개선,2
111,하이닉스,2
4,3분기,2
119,후발주자,2
67,시점,2
10,SK,2
70,업계,2
86,적자,1
85,재고,1
84,자금,1
75,외국인,1
83,일본,1
78,이슈,1
76,의미,1
77,이날,1
82,인텔,1
81,인수합병,1
80,인수,1
79,이슈나,1
87,전략,1
0,13만,1
88,전망,1
90,점유율,1
118,효과,1
117,회복,1
116,환경,1
115,확보,1
114,확대,1
113,호재,1
112,현물,1
110,플래시,1
108,톱픽,1
105,키옥시아도,1
104,추천,1
103,추가,1
102,최도연,1
101,지연,1
100,지배,1
99,지난주,1
97,증가,1
96,주력,1
95,종목,1
94,조정,1
93,조달,1
98,증권,1
60,성공,1
71,업종,1
19,거래,1
31,기관,1
30,그동안,1
29,구조,1
28,구사,1
27,구매,1
26,구간,1
25,과거,1
24,공급,1
21,경쟁,1
17,강세,1
36,노트북,1
16,가능성,1
15,가능,1
13,V낸드,1
12,SSD,1
9,NH,1
8,M&A,1
7,D램,1
6,6세대,1
5,5.56%,1
35,낸드플래시,1
37,도현우,1
68,신한금융투자,1
51,분위기,1
66,스마트폰,1
65,수익,1
63,솔리드스테이트드라이브,1
62,세계,1
61,성능,1
1,170단,1
57,생산,1
55,상향,1
52,비축,1
50,부족,1
38,마이크론,1
49,반영,1
47,반도체,1
46,박유악,1
44,미세공정,1
43,목표주가,1
42,목표주,1
41,메이커,1
40,메모리,1
39,매수,1
120,흑자,1
