,키워드,빈도
340,삼성전자,57
696,투자,28
144,갤럭시,21
664,카메라,16
533,인텔,15
589,제품,14
655,출시,13
265,모델,13
258,매수액,12
91,CEO,11
698,투자자,10
141,개인,10
330,사운드,10
167,공개,9
599,주식,9
125,가격,9
685,탑재,9
311,브랜드,9
756,화소,9
747,혁신상,9
595,종목,8
397,스마트폰,8
676,퀄컴,7
227,대표,7
299,보도,7
726,플러스,6
95,CNBC,6
147,갤럭시S21,6
476,예정,6
197,기업,6
761,회사,6
618,지원,6
411,시리즈,6
451,엑시노스,6
452,엑시노스2100,5
440,애플,5
317,비중,5
93,CES,5
335,사전,5
414,시장,5
84,AP,5
339,삼성,5
295,벤처기업,5
284,반도체,5
558,전략,5
608,중소,5
568,전작,5
98,ETF,5
644,최고,5
363,성능,5
386,수익,5
413,시작,5
487,울트라,5
526,인버스,4
171,공식,4
212,닥터,4
737,항해,4
432,아이,4
546,자체,4
454,엠투에스,4
341,삼성증권,4
398,스완,4
79,99만,4
739,해외,4
107,M세대,4
519,이어폰,4
355,생산,4
673,코스피,4
742,향상,4
725,플래그십,4
746,혁신,4
192,기기,4
366,세계,4
367,세대,4
670,코로나,4
360,설계,4
474,예약,4
268,모바일,4
635,처리,3
168,공격적,3
187,글로벌,3
585,제외,3
531,인치,3
587,제조,3
241,디지털,3
693,통신,3
656,출신,3
113,TSMC,3
117,VROR,3
624,진행,3
119,X세대,3
255,망원,3
155,결정,3
648,최대,3
671,코로나19,3
669,케어,3
277,무선,3
257,매수,3
263,멜로디,3
121,Z세대,3
630,차지,3
729,하락,3
81,AI,3
384,수상,3
733,한국,3
378,속도,3
56,3개,3
388,수준,3
744,헬스,3
404,승부수,3
753,호라이즌,3
49,2위,3
754,홍보,3
416,신규,3
709,판매,3
706,파악,3
466,영상,3
511,이동,3
336,사전예약,3
430,쏠림,3
464,연산,2
581,정책,2
449,업종,2
573,점유,2
195,기본,2
491,웨어,2
438,안정적,2
436,안전,2
577,정보,2
199,기획전,2
389,수직,2
486,우선주,2
485,용돈,2
579,정부,2
434,아이폰,2
582,제공,2
447,언팩,2
483,올리,2
433,아이덴티티,2
590,조명,2
478,오버,2
477,오디오,2
473,예상,2
215,단말기,2
221,대비,2
462,연령대,2
597,주목,2
470,예고,2
1,1000만,2
527,인사,2
266,모듈,2
522,이태휘,2
345,상위,2
545,자전거,2
303,부진,2
541,자사,2
306,분야,2
307,분위기,2
521,이용,2
313,블룸버그통신,2
548,장치,2
535,일반,2
534,인하,2
523,인공지능,2
524,인기,2
329,사용,2
532,인터케그,2
327,사양,2
515,이미지,2
352,새내기,2
571,절반,2
373,소진,2
321,사나폰,2
496,위탁,2
498,유도,2
272,모양,2
566,전자,2
565,전시회,2
375,소프트셀,2
371,소비자,2
550,재고,2
365,성향,2
362,설명,2
359,선호,2
508,의료,2
286,발전기,2
354,생각,2
554,적용,2
385,수요,2
607,중반,2
448,업계,2
32,1위,2
710,판매량,2
114,VM,2
760,활용,2
175,관련주,2
116,VR,2
711,펀드,2
174,관계자,2
715,평가,2
749,현상,2
31,1억,2
126,가능,2
165,곱버스,2
741,행사,2
15,145만,2
740,핵심,2
657,출하,2
658,충전,2
153,겔싱어,2
699,투자자들,2
151,검사기,2
723,프로,2
724,프로세서,2
665,카페,2
58,3위,2
57,3년,2
138,강조,2
178,구매,2
139,강화,2
83,ANC,2
701,트레일러,2
7,119만,2
5,10억,2
102,KODEX,2
10,12GB,2
87,BB세대,2
104,LG전자,2
704,티저,2
4,10배,2
638,초광각,2
687,태양전지,2
2,100만,2
89,BTS에디션,2
189,긍정적,2
634,책정,2
188,금액,2
78,8조,2
763,효과,2
504,으뜸음,1
720,포함,1
721,표현,1
702,트리플,1
500,유리,1
722,풀이,1
499,유럽,1
503,유행,1
703,특별,1
501,유명,1
502,유선,1
708,파장,1
719,포커스,1
718,포인트,1
517,이사회,1
514,이례적,1
513,이래,1
518,이슈,1
707,파운드리,1
512,이동촬영,1
497,위험,1
705,팀장,1
712,펫펄스랩,1
509,의약국,1
713,편곡,1
714,편집,1
507,음계,1
520,이완,1
506,은퇴자들,1
716,평면,1
717,포부,1
516,이벤트,1
505,은퇴자,1
510,이경민,1
736,할인,1
727,플레이,1
459,여파,1
758,확산,1
471,예고편,1
759,확정,1
469,영입,1
468,영예,1
467,영속성,1
465,영국,1
762,회사원,1
463,연말,1
461,역할,1
460,역임,1
458,여윳돈,1
472,예년,1
764,효율,1
457,여부,1
765,후면,1
766,후반,1
456,여름,1
767,휴대,1
455,엣지,1
768,휴대전화,1
453,엔트리,1
769,흥행,1
450,업체,1
757,확보,1
755,화면,1
728,픽셀,1
488,원가량,1
495,위치,1
494,위성위치확인시스템,1
493,위드어스,1
492,웨어러블,1
730,하이닉스,1
731,하향,1
732,한경닷컴,1
734,한국시간,1
735,한쪽,1
490,원어치,1
489,원대,1
738,해당카페,1
752,혜택,1
484,요소,1
743,헤지,1
745,헬스케어,1
482,온라인,1
481,오토포커스,1
480,오토,1
479,오빠,1
748,현대차,1
750,현지시간,1
475,예약자,1
751,협력관계,1
700,투자전략팀장,1
633,채널,1
525,인덕션,1
591,조사,1
604,중간,1
603,준비,1
602,주장,1
601,주인공,1
600,주씩,1
598,주변,1
645,최고경영자,1
596,종합적,1
646,최고기술책임자,1
594,조정,1
593,조절,1
592,조약돌,1
647,최고재무책임자,1
576,정밀,1
649,최신,1
588,제조부문,1
650,최씨,1
586,제작,1
651,추세,1
584,제약,1
583,제시,1
652,추적,1
653,추정,1
580,정식,1
654,출고가,1
578,정보기술,1
605,중기부,1
606,중단,1
643,촬영,1
642,촉진,1
631,창업,1
629,차이,1
636,첨단,1
628,차별점,1
637,청각,1
627,집중적,1
626,집중력,1
625,집중,1
623,진출,1
622,진입,1
621,진단,1
620,지향,1
619,지적,1
639,초보,1
617,지연,1
616,지수,1
640,초점,1
615,지분,1
614,지방자치단체,1
641,촉각,1
613,지난달,1
612,증가,1
611,중앙처리장치,1
610,중앙,1
609,중소벤처기업부,1
659,충전기,1
575,정도,1
697,투자성향,1
538,자동탈봉기,1
679,키오스크,1
547,작용,1
680,키트,1
681,타격,1
682,타입,1
544,자율주행,1
543,자유,1
683,탄생,1
542,자식들,1
684,탈봉,1
540,자리,1
539,자료,1
686,태양,1
574,점유율,1
537,자동,1
536,임시,1
688,터치,1
689,테마주,1
690,테슬라,1
632,창업지원사업,1
692,토크,1
530,인이어,1
529,인식,1
528,인수건,1
694,통신업,1
695,통일감,1
549,재검토,1
678,클라우드,1
551,재임,1
552,적극,1
660,측면,1
572,절차부심,1
661,측정,1
662,치료제,1
663,침체,1
570,전체적,1
569,전지,1
666,캔슬링,1
667,컴퓨터,1
567,전자기기,1
564,전문가들,1
668,컴퓨팅,1
563,전문가,1
562,전면카메라,1
561,전면,1
560,전망,1
559,전력,1
672,코로나바이러스,1
674,콘텐츠,1
557,전기차,1
675,쿼드,1
556,전기,1
555,전개,1
677,크기,1
553,적금,1
691,텐션음,1
0,,1
446,억제,1
106,Making,1
137,강아지,1
140,개선,1
142,개제,1
143,개통,1
145,갤럭시S20,1
146,갤럭시S20시리즈,1
148,갤럭시버즈,1
149,건강,1
150,검사,1
152,검토,1
154,결과,1
156,경기,1
157,경쟁기업,1
158,경쟁사들,1
159,경쟁자,1
160,경질,1
161,경향,1
136,감정,1
135,감염증,1
134,감염,1
122,epic,1
109,S9,1
110,SA,1
111,SK,1
112,S펜,1
115,VM웨어,1
118,WQHD,1
120,Z,1
123,everyday,1
133,감성,1
124,voyage,1
127,가상터치,1
128,가상현실,1
129,가전,1
130,가전기기,1
131,가정,1
132,각인,1
162,계기,1
163,계획,1
164,고객,1
207,노이즈,1
200,나중,1
201,난관,1
202,난시,1
203,낭패,1
204,내장,1
205,내정,1
206,네이버,1
208,노트,1
196,기본형,1
209,논의,1
210,눈높이,1
211,능력,1
213,단계,1
214,단기,1
216,단순화,1
217,달러,1
198,기준,1
194,기록,1
166,공간,1
180,구성품,1
169,공동,1
170,공시지원금,1
172,공정,1
173,과도,1
176,광각,1
177,광학,1
179,구성,1
181,구슬,1
193,기대감,1
182,국민연금,1
183,규모,1
184,그동안,1
185,그래픽,1
186,극대화,1
190,기가바이트,1
191,기간,1
108,S21,1
105,M2S,1
219,대기업,1
103,LG,1
28,1m,1
29,1나노,1
30,1년,1
33,1주일,1
34,20.7%,1
35,200선물,1
36,20개,1
37,20곳,1
38,20대,1
39,20만,1
40,21.7%,1
41,22만,1
42,23.1%,1
43,23일,1
44,256,1
45,26조,1
46,27개,1
27,1996~2000년,1
26,1981~1995년,1
25,1965~1980년,1
14,14%,1
3,10만,1
6,10종목,1
8,11월,1
9,1200만,1
11,12일,1
12,13.5%,1
13,13일,1
16,15.1%,1
24,1950~1964년,1
17,159만,1
18,15년,1
19,15일,1
20,15조,1
21,16.3%,1
22,16.7%,1
23,18개,1
47,29%,1
48,29일,1
50,2주,1
88,BTS,1
75,63%,1
76,7개월,1
77,80만,1
80,AF,1
82,AMD,1
85,ARM,1
86,BB,1
90,BTS폰,1
73,5G폰,1
92,CEO직,1
94,CFO,1
96,CPU,1
97,CTO,1
99,FDA,1
100,GB,1
101,GPS,1
74,5조,1
72,5G,1
51,30%,1
62,40대,1
52,30~40%,1
53,32.2%,1
54,33%,1
55,34.2%,1
59,3종,1
60,40%,1
61,4000만,1
63,4100만,1
71,56%,1
64,47조,1
65,4~12일,1
66,4~8일,1
67,4가지,1
68,4개,1
69,512기가바이트,1
70,5230만,1
218,달만,1
220,대만,1
445,어플리케이션,1
324,사랑,1
358,선택,1
361,설립,1
364,성능면,1
368,세대별,1
369,소개,1
370,소리,1
372,소재,1
374,소통,1
376,소프트피브이,1
377,소형,1
379,손가락,1
380,손실,1
381,손안,1
382,수년,1
383,수면,1
387,수제맥주,1
390,수직통합적,1
357,선전,1
356,서울시,1
353,색맹,1
338,산업,1
326,사실,1
328,사업,1
331,사운드들,1
332,사은품,1
333,사이,1
334,사임,1
337,사회,1
342,상대적,1
351,상황,1
343,상반기,1
344,상승,1
346,상장,1
347,상징,1
348,상태,1
349,상품,1
350,상향,1
391,숙면,1
392,순간,1
393,슈퍼줌,1
429,써드포인트,1
422,신중,1
423,신체,1
424,신형,1
425,실적,1
426,실패,1
427,실험,1
428,써드,1
431,아빠,1
420,신제품,1
435,아이폰12,1
437,안정감,1
439,애널리틱스,1
441,액티브,1
442,액티비티,1
443,약정,1
444,양봉자,1
421,신종,1
419,신작,1
394,스냅,1
405,승인,1
395,스냅드래곤,1
396,스냅드래곤888,1
399,스타트업,1
400,스트래티지,1
401,스펙,1
402,슬로,1
403,슬로건,1
406,시가총액,1
418,신뢰감,1
407,시각,1
408,시대,1
409,시도,1
410,시력,1
412,시선,1
415,식품,1
417,신기술,1
325,사방,1
323,사람들,1
222,대상,1
322,사람,1
245,레버리지,1
246,레벨,1
247,레이저,1
248,렌즈,1
249,로버트,1
250,루플,1
251,리더십,1
252,마이크,1
253,마지막,1
254,마케팅,1
256,망원카메라,1
259,매장,1
260,메가픽셀,1
261,메인,1
262,멜라토닌,1
264,멤버,1
267,모드,1
244,런칭,1
243,럭셔리,1
242,또래,1
231,동력,1
223,대성,1
224,대수,1
225,대신증권,1
226,대안,1
228,대화모드,1
229,도약,1
230,동등,1
232,동료,1
240,디자인,1
233,동시촬영,1
234,두뇌,1
235,뒷모습,1
236,듀얼,1
237,드래곤,1
238,디스,1
239,디자이너,1
269,모빌테크,1
270,모서리,1
271,모습,1
309,불문,1
298,병행,1
300,보유,1
301,복시,1
302,부담,1
