,키워드,빈도
53,만두,19
58,미국,18
76,생산,16
15,CJ제일제당,14
152,확대,8
36,기지,8
56,매출,6
77,생산기지,5
94,시장,5
27,공장,5
19,가동,5
67,부지,5
90,수폴스,5
88,수요,5
24,계획,4
14,CJ,4
44,대비,4
155,확정,4
32,규모,3
33,글로벌,3
50,동부,3
59,미래,3
97,신설,3
79,서부,3
120,전역,3
20,가동률,3
2,17만,3
148,해외,3
13,90%,3
142,푸드,3
113,인프라,3
134,캘리포니아,3
108,유통채널,2
73,사우스다코타주,2
150,현지,2
145,한국,2
143,품목,2
68,북미,2
72,사우스,2
130,증가,2
131,지원,2
1,12일,2
80,선제적,2
127,중부,2
83,성장,2
125,제일제당,2
89,수준,2
124,정부,2
51,라인,2
157,획기적,2
49,돌파,2
10,56만,2
16,Falls,2
4,1조,2
39,넥스트,2
40,뉴욕,2
18,Sioux,2
41,뉴저지,2
28,관계자,2
121,전용,1
128,중서부,1
126,준비,1
17,K-소스,1
123,정도,1
122,접점,1
21,각종,1
12,8번,1
119,전년도,1
118,적극,1
117,저변,1
116,잠재력,1
115,작업,1
114,입점,1
22,건강,1
112,인수,1
111,인기,1
110,이식,1
109,육성,1
23,경쟁력,1
129,중소,1
133,채널,1
11,70%,1
7,3600억,1
156,회사,1
3,1위,1
154,확산,1
153,확보,1
151,홍보,1
5,23번,1
149,햇반,1
6,35%,1
147,핫소스,1
146,한식,1
144,하이비,1
132,차세대,1
8,40%,1
9,4200억,1
141,표준,1
140,폭발적,1
139,평가,1
138,투자,1
137,턱밑,1
136,타겟,1
135,크로거,1
106,유통,1
107,유통망,1
104,월마트,1
105,위치,1
63,버몬트주,1
38,냉동식품,1
75,상황,1
74,상온,1
71,비중,1
70,비비고,1
69,브랜드,1
42,다코타,1
66,부담,1
65,볶음밥,1
64,보몬트,1
62,방팀,1
78,생산라인,1
61,발효식품,1
60,발굴,1
43,다코타주,1
45,대응,1
57,메가,1
46,대표,1
55,매입,1
54,만두공장,1
47,대형,1
52,마트,1
37,김치,1
35,기록,1
48,돌입,1
93,시작,1
103,원어치,1
102,영역,1
101,연매출,1
100,업체,1
99,약속,1
98,안정적,1
25,고용,1
96,식품,1
95,식료품점,1
26,고추장,1
92,슈퍼마켓,1
34,급증,1
91,슈완스,1
29,관심,1
30,구축,1
87,소비자,1
86,센터,1
85,세계,1
84,성장세,1
31,국가,1
82,성과,1
81,설비,1
0,10월,1
