,키워드,빈도
143,콘택트주,11
63,백신,7
110,이날,7
82,신세계,6
155,호텔신라,5
140,코로나19,5
118,전망,4
79,순환매,4
80,시작,4
98,예상,4
105,원어치,3
49,대한항공,3
68,상승세,3
29,CJ,3
100,외국인,3
108,유안타증권,3
41,기관,3
123,접종,3
128,조정,3
129,종목,3
117,재확산,2
72,센터장,2
48,대통령,2
159,회복,2
53,마감,2
55,매수,2
57,면세점,2
158,확진자,2
65,보급,2
67,상승,2
146,투어,2
145,톱픽,2
77,수출주,2
112,이틀,2
144,콘택트주들,2
133,주도주,2
130,종목들,2
94,연속,2
102,운영,2
46,다음달,2
122,접근,2
81,시장,2
161,흑자,2
30,ENM,2
42,기대감,2
33,강원랜드,2
43,기록,1
119,전문가들,1
11,2차,1
12,3.86%,1
13,3.91%,1
127,조사,1
126,제이콘텐트리,1
125,정보,1
124,접종호텔신라,1
14,307%,1
15,311억,1
121,전환,1
120,전지,1
16,3125.95,1
132,주도,1
17,3633억,1
116,자동차주,1
115,자극,1
114,임대료,1
113,일정,1
18,36억,1
111,이동,1
19,4.94%,1
109,유입,1
20,4종목,1
107,유가증권시장,1
106,위주,1
131,주가,1
134,증가,1
10,2조,1
148,파라다이스,1
160,효과,1
2,1000명대,1
3,129억,1
157,확산세,1
156,화물,1
4,1477억,1
154,호재,1
153,현대차,1
152,합병,1
151,하루,1
150,하락,1
149,펀드,1
147,투자자들,1
104,운임,1
5,175억,1
6,2.95%,1
7,200.6%,1
8,2분기,1
142,코스피지수,1
141,코스피,1
9,2월,1
139,카지노주,1
138,카지노,1
137,출시,1
136,추천,1
135,증권사,1
21,5.06%,1
22,5.32%,1
103,운용사,1
73,소식,1
71,성격,1
70,설명,1
69,상승폭,1
32,감소,1
66,삼성전자,1
34,고점,1
64,백화점,1
35,공항,1
62,발언,1
61,반도체,1
60,문재인,1
59,모멘텀,1
58,명대,1
36,국민,1
56,면세,1
37,그동안,1
54,매니저,1
38,금융,1
52,리서치센터장,1
51,리서치,1
50,동반상승,1
39,급등,1
40,기간,1
47,대비,1
45,내달,1
31,LG화학,1
74,소외,1
44,김승현,1
75,수요,1
101,우선적,1
23,59억,1
99,와중,1
24,6.96%,1
97,영화관,1
96,영업이익,1
95,연초,1
25,7.65%,1
93,연말연초,1
92,여행주,1
91,여행,1
90,여객,1
89,에프앤가이드,1
88,업체,1
87,업종,1
86,아시아나항공,1
85,쌍끌,1
84,실현,1
83,실적,1
26,8만,1
1,1.2%,1
27,9월,1
28,CGV,1
78,순매도,1
76,수익,1
0,0.71%,1
