,키워드,빈도
102,스마트폰,15
119,엘지전자,10
60,모바일,7
86,사업,7
206,혁신,5
108,시장,4
57,모델,4
178,철수,4
118,엘지,4
111,아이폰,4
94,성공,3
90,삼성전자,3
181,초콜릿폰,3
52,롤러블폰,3
184,출시,3
161,제품,3
160,정도,3
156,전략,3
24,경쟁,3
47,대응,2
186,치열,2
38,기본성능,2
91,상황,2
37,기록,2
175,찬사,2
59,모듈,2
35,글로벌,2
85,사실,2
151,장면,2
64,미국,2
83,사례,2
153,적응,2
154,적자,2
79,브랜드,2
188,칩셋,2
76,분기,2
27,과거,2
201,폼팩터,2
112,애플,2
21,결국,2
22,결정,2
132,완전,2
105,스크린,2
202,프라다폰,2
101,수요,2
122,연속,2
217,흐름,2
190,커버,2
128,온라인,1
129,옴니아폰,1
130,옵티머스,1
155,전기차,1
152,적극,1
131,완성,1
127,오포,1
133,요구,1
134,운영,1
141,이메일,1
148,자사,1
150,자형,1
135,원대,1
149,자원,1
157,전장,1
136,윈도,1
137,유진투자증권,1
147,자동차,1
146,인상,1
138,의사결정,1
139,이달,1
145,인공지능,1
144,인공,1
143,이용자,1
140,이래,1
142,이승우,1
0,1,1
169,지속조달,1
158,전화,1
159,전환,1
193,크리스텐슨,1
194,클레이튼,1
195,탑재,1
196,통화,1
197,특징,1
198,틈새시장,1
199,판단,1
200,판매,1
203,피처폰,1
204,핵심,1
205,핵심적,1
207,혁신기업,1
208,혁신적,1
209,현상,1
210,현실,1
211,형태,1
212,호평,1
213,화면,1
214,화웨이,1
215,회장,1
216,휴대,1
192,퀄컴,1
191,콘트롤러,1
189,카메라,1
171,진행,1
162,주력사업,1
163,주목,1
164,중국,1
165,중심,1
166,중요,1
167,중추,1
168,지능,1
125,영화,1
170,직원,1
172,집중,1
187,치중,1
173,차례,1
174,차원,1
176,채택,1
177,천연가죽,1
179,체제,1
180,초반,1
182,최고,1
183,추가,1
185,측면,1
126,예고,1
109,실기,1
124,열풍,1
42,뉴초콜릿폰,1
30,교훈,1
31,구광모,1
32,그룹,1
33,그즈음,1
34,극소수,1
36,기기,1
39,노키아,1
40,논란,1
41,누적,1
43,다양화,1
28,교수,1
44,담보,1
45,대가,1
46,대비,1
48,더블,1
49,돌파구,1
50,딜레마,1
51,로봇,1
53,롤리팝2,1
54,리서치,1
29,교환,1
26,고수,1
123,연속적자,1
11,G5,1
2,1조,1
3,2008년,1
4,20일,1
5,21일,1
6,2배,1
7,5년,1
8,AP,1
9,CES,1
10,G4,1
12,HTC,1
25,경쟁사,1
13,LG,1
14,MC,1
15,V50,1
16,가죽,1
17,감수,1
18,강조,1
19,갤럭시,1
20,검토,1
23,경영진,1
55,리서치센터장,1
56,마케팅,1
58,모델들,1
106,시대,1
93,샤오미,1
95,세상,1
96,센터장,1
97,소비자,1
98,소비자가전박람회,1
99,소재,1
100,손실액,1
103,스위블,1
104,스위블폰,1
107,시작,1
61,모바일사업본부,1
1,10월,1
110,실적,1
113,애플간,1
114,약점,1
115,업체,1
116,에이치티시,1
117,엑시노스,1
120,역할,1
121,연상,1
92,생존,1
89,삼성,1
88,산업,1
87,사용,1
62,모토롤라,1
63,무대,1
65,미래,1
66,박자,1
67,발열,1
68,배경,1
69,배터리,1
70,변곡점,1
71,변화,1
72,보조화면,1
73,본부,1
74,부진,1
75,부품,1
77,분야,1
78,분투,1
80,블랙베리,1
81,비교,1
82,비보,1
84,사물인터넷,1
218,흑자,1
