,키워드,빈도
12,CJ프레시웨이,9
36,급식,8
93,식자재,7
39,기업,7
90,시장,4
94,식품,4
44,단체,4
127,전문,4
73,생산,3
143,코로나19,3
83,송림푸드,3
80,센트럴키친,3
64,비결,2
34,규모,2
35,글로벌,2
132,제품,2
91,식단,2
30,공장,2
112,위기,2
92,식사,2
123,적자,2
115,유통,2
52,매출,2
57,반찬류,2
133,조리,2
138,직장,2
56,반조리,2
160,회사,2
89,시작,2
25,겨냥,2
88,시대,2
24,거래처,2
84,수요,2
82,소스,2
99,안전,2
111,외식,1
116,유행,1
114,유치원,1
95,식품공장,1
113,위축,1
96,신종,1
97,신청,1
104,열심,1
98,실적,1
117,음식,1
109,완조리,1
100,어린이집,1
101,업계,1
102,업무협약,1
103,연면적,1
108,오뚜기,1
107,예상,1
106,영업이익,1
105,열풍,1
110,외부,1
0,0세,1
118,이천시,1
119,인수,1
145,타격,1
146,탈출,1
147,탈출구,1
148,투자,1
149,포장,1
150,프랜차이즈,1
151,프레시웨이,1
152,하루,1
153,학교,1
154,현장,1
155,협업,1
156,형태,1
157,확대,1
158,확보,1
159,활용,1
144,코로나바이러스,1
142,코로나,1
141,채비,1
129,전환,1
120,인증,1
121,재가노인,1
122,재택근무,1
124,적중,1
126,전락,1
128,전처리,1
130,정보,1
140,차례,1
131,제이팜스,1
134,조리사,1
135,중심,1
136,즉석조리식품,1
137,증가,1
139,진출,1
125,전년,1
81,소비자층,1
87,시니어,1
28,고령자,1
20,강조,1
21,개선,1
22,개척,1
23,거동,1
26,경기,1
27,경쟁,1
29,공급,1
42,납품,1
31,구내식당,1
32,구이,1
33,구조,1
37,급식사업,1
38,급증,1
40,김준회,1
19,감염증,1
18,가지,1
17,가정간편식,1
16,가정,1
15,가동,1
14,가도,1
13,HMR,1
11,CJ그룹,1
10,CJ,1
9,6월,1
8,3조,1
7,3분기,1
6,25t,1
5,20%,1
4,118억,1
3,10곳,1
2,100세,1
41,날개인,1
43,노년층,1
86,순식간,1
74,서울국공립어린이집연합회,1
67,사실,1
68,사업,1
69,사용,1
70,사태,1
71,상반기,1
72,상품,1
75,선제,1
45,대비,1
76,선제투자,1
77,성공,1
78,성장,1
79,센터장,1
1,1000여,1
85,수출,1
66,비지팅엔젤스코리아,1
65,비지팅엔젤스,1
63,불황,1
62,불편,1
61,본격화,1
60,백사면,1
59,배송,1
58,방문,1
55,밀키트,1
54,모범생,1
53,모범,1
51,마케팅,1
50,마음,1
49,롤러코스터,1
48,된서리,1
47,동기,1
46,돌파,1
161,흑자,1
