,키워드,빈도
546,삼성전자,56
833,주가,43
847,중국,34
252,갤럭시,29
298,공장,24
312,교수,19
365,김영익,18
911,카메라,16
838,주식,15
763,입국,14
1011,허란,14
459,모델,13
561,상황,12
1031,화웨이,12
543,삼성,12
1021,현지,12
228,가동,12
470,미국,12
918,코로나19,12
903,출시,11
154,6만,11
623,스마트폰,11
224,가격,10
973,프로,10
564,생산,10
826,조정,9
708,외국인,9
694,영향,9
638,시장,9
524,브라질,9
633,시리즈,9
434,레버리지,8
191,LG디스플레이,8
556,상위,8
716,우리나라,8
1030,화소,8
990,하향,8
932,탑재,7
351,기록,7
679,엔지니어,7
226,가능,7
585,성능,7
187,KODEX,7
995,한국,7
718,운영,7
865,지원,7
933,태블릿,7
553,상승,7
830,종목,7
220,TV,7
296,공매도,7
794,전망,7
493,배터리,7
452,매수,6
349,기관,6
12,03월,6
969,포함,6
491,배당,6
562,생각,6
776,장기적,6
85,26일,6
785,저평가,6
947,투자,6
959,판매,6
588,세계,6
673,업종,6
161,8.4,6
273,경제,6
197,OLED,5
302,관계자,5
740,은행,5
824,제한,5
481,반도체,5
215,SK하이닉스,5
231,가전,5
337,금액,5
800,전자,5
650,실적,5
309,괴리,5
637,시작,5
786,적용,5
158,7만,5
200,P40,5
986,하락,5
917,코로나,5
1035,확산,5
695,예상,5
841,주인,5
592,센터,5
921,코스피,5
870,직원,5
335,금값,5
359,기업들,5
193,LG전자,4
307,광저우,4
609,수요,4
671,업데이트,4
578,서울,4
141,5~6월,4
333,글로벌,4
607,수량,4
770,자체,4
662,애플,4
754,인력,4
538,사진,4
720,울트라,4
657,아파트,4
322,국면,4
127,4~5년,4
970,폭락,4
790,전기,4
828,조치,4
948,투자자,4
401,당장,4
404,대비,4
406,대응,4
916,코로,4
914,캄피나스,4
358,기업,4
429,디스플레이,4
435,레저,4
67,2,4
852,중단,4
840,주식시장,4
801,전작,4
1001,한화생명,4
810,정부,4
484,발생,4
808,정도,4
407,대응책,3
521,분들,3
504,변동성,3
400,당국,3
318,구조조정,3
398,달러약세,3
396,달러,3
181,ETN,3
232,가지,3
278,경제지표,3
389,논의,3
387,노트,3
174,C-Biz봇,3
611,수익률,3
382,내수,3
310,괴리율,3
374,나무,3
483,반영,3
478,바이러스,3
241,감염증,3
354,기사,3
628,스펙,3
548,삼성피해자공동투쟁,3
468,물가,3
540,사태,3
243,강남아파트,3
539,사진첩,3
458,명목GDP,3
250,개인,3
251,개인들,3
457,면담,3
453,매장,3
348,기간,3
198,OS,3
227,가능성,3
257,거래소,3
442,마나우스,3
438,리서치,3
437,로봇,3
534,사실,3
449,말씀,3
315,구글,3
829,종가,3
686,연기,3
31,10~20%,3
958,판단,3
726,위기,3
746,이미지,3
853,중심,3
949,투자자들,3
946,투입,3
935,테마주,3
920,코스닥,3
768,자산,3
771,작성,3
802,전지,3
806,점검,3
894,최대,3
811,정상,3
843,주재원,3
860,증권플러스,3
137,512GB,3
748,이자,3
845,준법,3
1045,회사,3
643,신종,3
1008,핵심,3
669,업계,3
1044,회복,3
649,실시간,3
319,구축,2
423,동영상,2
425,두산중공업,2
427,등락률,2
904,출장,2
431,라인,2
898,추세,2
1040,환율,2
897,추가,2
891,최강,2
893,최고가,2
1038,확진자,2
448,만큼,2
889,총괄,2
882,처리,2
873,진행,2
864,지역,2
1046,회의,2
862,지속,2
859,증권사들,2
858,증권사,2
908,칩셋,2
1004,해고,2
1036,확장,2
386,노동자,2
347,기가바이트,2
997,한국인,2
980,픽셀,2
977,플레이,2
976,플러스,2
362,기회,2
364,긴급,2
966,평균,2
381,내부적,2
344,금투자,2
1009,향상,2
953,파견,2
999,한시름,2
343,금융투자,2
338,금융,2
951,특별,2
393,단기,2
