,키워드,빈도
160,사장,36
167,삼성전자,28
166,삼성,23
278,조주빈,19
309,퀄컴,17
204,신고,15
217,엑시노스,15
193,스마트폰,13
46,경찰,12
343,협박,10
318,통합칩셋,9
269,정도,9
324,판매,8
211,얘기,8
267,접근,7
336,해명,7
79,김웅,7
125,반도체,7
316,통신,7
157,사업부,7
134,변호사,6
289,지적,6
156,사업,6
148,사건,6
306,칩셋,6
317,통합,6
181,세계,6
22,LSI,5
347,회사,5
302,출시,5
249,자신,5
57,관계자,5
96,뒷조사,5
314,텔레그램,4
277,조작,4
246,입장문,4
122,미투,4
116,문장,4
200,시장,4
129,배후,4
186,손석희,4
320,투자,4
163,사칭,4
282,주장,4
283,중국,4
210,약점,4
112,모순,4
290,직원,4
20,JTBC,4
191,스냅드래곤,4
215,업계,3
223,예상,3
233,의혹,3
199,시작,3
216,업체,3
235,이름,3
175,설명,3
153,사실,3
285,증거,3
119,미래,3
345,화웨이,3
117,미국,3
331,프리미엄,3
127,반응,3
16,Exynos,3
109,모델,3
136,보도,3
258,전략실,3
151,사람,3
39,갤럭시,3
36,가능성,3
173,선택,2
130,범행,2
183,소개,2
150,사기범들,2
180,성착취물,2
174,설득력,2
143,브랜드,2
132,법조계,2
176,성능,2
168,상대,2
161,사주,2
138,보통,2
144,비메모리반도체,2
231,의문,2
187,수사,2
197,시스템LSI사업부,2
276,조심,2
284,중론,2
292,진본,2
303,출신,2
310,타깃,2
312,탑재,2
315,통상적,2
319,통화,2
325,평가,2
326,폐지,2
330,프리랜서,2
333,한국,2
337,행동책,2
342,혐의,2
346,확보,2
273,제외,2
271,제기,2
266,전체적,2
226,요구,2
202,시점,2
208,애초,2
214,언론사,2
220,연락처,2
221,연루,2
225,외부,2
227,운동,2
257,전략,2
228,운영자,2
229,유럽,2
234,이동,2
241,인력,2
243,일각,2
248,자사,2
123,박사방,2
349,흥신소,2
121,미전실,2
38,강자,2
98,런칭,2
26,Qualcomm,2
28,Smart,2
30,SoC,2
33,가격,2
82,납득,2
37,감안,2
81,남미,2
40,갤럭시S20,2
15,D램,2
41,거론,2
43,검찰,2
50,고소,2
65,굴욕적,2
59,관심,2
52,공갈,2
56,과거,2
53,공갈미수,2
19,Green,2
87,노력,2
106,메시지,2
107,메이저,2
114,무선,2
111,모바일,2
6,2017년,2
5,2009년,1
48,고발,1
47,계승,1
268,접촉,1
45,결정,1
270,정보,1
44,결국,1
272,제시,1
332,필수적,1
274,제조,1
264,전자팀,1
275,제품,1
42,거짓말,1
279,조짐,1
280,좌지우지,1
281,주도,1
341,현안,1
340,헬리오,1
339,향상,1
265,전직,1
262,전자업계,1
263,전자적,1
251,장기,1
244,일들,1
245,임직원,1
348,휴대폰,1
247,자리,1
2,10년,1
3,133조,1
4,1년,1
51,고위,1
250,자체적,1
252,장기전,1
34,가격협상,1
253,장악,1
254,저전력,1
255,적극,1
344,형식,1
256,전달,1
49,고성능,1
259,전문가,1
260,전문가들,1
261,전자,1
35,가격협상력,1
286,지급,1
338,행보,1
17,Exypnos,1
311,타사,1
25,Prasinos,1
313,태플릿,1
24,PC,1
23,MeToo,1
21,LG전자,1
334,한국경제신문,1
9,28일,1
18,GPU,1
321,특허,1
27,R&D,1
322,특허권,1
323,파운드리,1
14,Chip,1
13,AP,1
12,5분,1
327,포기,1
328,표준,1
329,품질,1
11,5G,1
335,한창,1
308,코너,1
10,33.4%,1
296,차이,1
287,지렛대,1
288,지배,1
7,2019년,1
32,digital,1
291,직원들,1
31,System,1
293,집중,1
294,차량,1
295,차례,1
242,인상,1
307,카운터포인트리서치,1
297,철수,1
298,철수설,1
299,초반,1
300,최순실,1
301,추진,1
29,Snapdragon,1
304,취지,1
305,치열,1
8,2030년,1
54,공식,1
236,이목,1
55,공통,1
93,대처,1
155,사안,1
100,로열티,1
99,레이스,1
158,사옥,1
159,사이,1
97,드래곤,1
162,사진,1
95,두뇌,1
164,사회,1
165,산업,1
94,대표,1
92,대만,1
240,이재용,1
169,상황,1
170,생산,1
171,샤오미,1
172,선전,1
91,대등,1
90,단어,1
1,1,1
89,다툼,1
177,성사,1
178,성신여대,1
179,성장,1
154,사실무근,1
101,루머,1
152,사람들,1
102,만큼,1
124,박수,1
118,미디어텍,1
126,반도체업,1
115,무선사업부,1
128,발언,1
113,무기,1
131,법원,1
133,변동,1
110,모뎀칩,1
135,보강,1
108,명목,1
137,보도자료,1
139,부회장,1
140,분량,1
141,분쟁,1
142,불리,1
105,메모리반도체,1
145,비보,1
146,비전,1
147,비판,1
104,매출,1
149,사고,1
103,망신,1
88,뉴스룸,1
182,세계적,1
86,낸드플래시,1
212,어깨,1
72,기린,1
71,금품,1
70,금어초,1
69,글로벌,1
218,엑시노스990,1
219,역할,1
68,극단적,1
67,그리스어,1
222,영상,1
66,그래픽프로세서,1
224,온라인,1
64,구체,1
63,구애,1
62,교수,1
61,관측,1
230,읍소,1
60,관점,1
232,의미,1
58,관계자들,1
120,미래전략실,1
237,이미지센서,1
238,이사,1
239,이야기,1
213,언급,1
73,기사,1
184,소문,1
74,기술경쟁,1
185,소비자들,1
85,낸드,1
84,내장,1
188,수익,1
189,수준,1
190,스냅,1
83,납품,1
192,스냅드래곤865,1
194,스티커,1
195,승승장구,1
196,시선,1
198,시스템반도체,1
80,나름,1
78,기적,1
201,시절,1
77,기자들,1
203,식물,1
76,기업,1
205,실제,1
206,안팎,1
207,애착,1
75,기억,1
209,애플리케이션프로세서,1
0,,1
