,키워드,빈도
53,SK하이닉스,10
186,주가,9
178,장비,8
131,상승,8
63,거래,7
115,반도체,6
48,EUV,6
105,메모리,5
80,급등,5
58,가격,5
129,삼성전자,5
171,이날,4
211,파월,4
170,의장,4
217,하이닉스,4
136,설명,4
150,알테오젠,3
188,중국,3
52,SK,3
118,발언,3
71,공급,3
152,업체,3
207,투자,3
110,미국,3
86,기업,3
88,낸드,3
175,인플레이션,2
176,자금,2
191,증시,2
46,DB하이텍,2
84,기대감,2
10,1만,2
101,매수,2
224,회복,2
157,연구원,2
9,14만,2
54,TSMC,2
153,업황,2
59,강세,2
223,환율,2
181,전망,2
222,확보,2
76,극자외선,2
30,4조,2
163,외국인,2
134,생산,2
124,비용,2
121,부족,2
210,파운드리,2
78,금리,2
205,코스피지수,2
98,마이크론,2
116,반등,2
33,5년,2
34,6만,2
142,순수,2
200,취득,2
91,달러,2
158,연기금,1
160,예정,1
161,오명,1
162,완화,1
156,역환매조건부채권,1
159,영향,1
229,흑자,1
155,역레포,1
141,수급,1
132,상승세,1
133,상승폭,1
135,서울외환시장,1
137,성장,1
138,세계,1
139,세트업계,1
140,소식,1
143,순회수,1
154,역RP,1
144,슈퍼사이클,1
145,스캐너,1
146,시가,1
147,시장,1
148,시점,1
149,안심,1
151,양산,1
164,우위,1
174,인민은행,1
165,원화가치,1
194,차원,1
196,체결,1
197,초반,1
198,총액,1
199,최고,1
201,측면,1
202,코스닥,1
203,코스닥지수,1
204,코스피,1
206,키움증권,1
208,투자소식,1
209,투자자들,1
212,평가,1
213,포모,1
214,풀이,1
215,프로그램,1
216,하락,1
218,현물,1
219,현실화,1
220,현지시간,1
195,차익거래,1
193,차세대,1
166,위탁생산,1
192,지불,1
167,유동,1
228,훈풍,1
168,유동성,1
169,유리,1
172,이원,1
173,인간,1
221,혜택,1
177,장기간,1
227,효용가치,1
226,회수,1
180,적자,1
225,회사,1
182,전자,1
183,전환,1
184,정도,1
185,제조,1
187,주식시장,1
189,중국발,1
190,중앙은행,1
179,장중,1
0,,1
130,상대적,1
42,9만,1
29,4866억,1
31,5.31%,1
32,5793억,1
35,8%,1
36,8.09%,1
37,8360억,1
38,89.63포인트,1
39,9.19%,1
40,930.69,1
41,986억,1
43,ALT-B,1
128,사이클,1
44,ASML,1
45,CDMO,1
47,D램,1
49,FOMO,1
50,Fed,1
51,RP,1
55,fear,1
56,missing,1
57,美中,1
60,개별,1
28,3분기,1
27,3880억,1
26,3090.12,1
25,3084.61,1
2,1.42%,1
3,10.62%,1
4,10년,1
5,1108.4원,1
6,11월,1
7,13만,1
8,14.12%,1
11,1분기,1
12,1시,1
13,2.69%,1
14,2.99%,1
15,21.33%,1
16,23%,1
17,23.06%,1
18,24.30포인트,1
19,24일,1
20,25%,1
21,25.32%,1
22,25일,1
23,2분기,1
24,3.8원,1
61,개선,1
62,개인,1
64,격차,1
97,레포,1
100,매매,1
102,매수세,1
103,매입,1
104,머크,1
106,메모리업,1
107,목표치,1
108,물가,1
109,물가상승,1
111,미중발,1
112,바닥,1
113,바통,1
114,박유악,1
1,1.39%,1
117,반영,1
119,부국증권,1
120,부근,1
122,분할,1
123,비수기,1
125,비차익거래,1
126,사상,1
127,사업,1
99,만큼,1
96,뒷걸음질,1
65,경기,1
95,동결,1
66,계약,1
67,계획,1
68,고점,1
69,고정,1
70,공격적,1
72,공정,1
73,과거,1
74,국채,1
75,그동안,1
77,글로벌,1
79,금액,1
81,긍정,1
82,긍정적,1
83,기관,1
85,기록,1
87,기지,1
89,네덜란드,1
90,노광장비,1
92,대응,1
93,도달,1
94,돌파,1
230,히알루,1
