,키워드,빈도
838,삼성전자,126
972,시장,62
1312,주주,49
1319,주총,48
1471,코로나19,42
875,선물,40
774,부회장,39
823,사장,39
829,삼성,39
1087,외국인,35
314,ETN,35
954,스마트폰,33
719,반도체,31
1626,확대,30
811,사업,30
1628,확산,28
12,03월,25
1111,원유,25
603,대비,25
1170,인버스,24
1565,하락,22
1500,투자,22
1158,이사,22
1149,이날,21
1280,제품,21
1391,참석,20
376,WTI,20
383,가격,20
460,계획,19
440,경영,18
844,상승,18
512,글로벌,18
372,TV,18
660,마스크,18
1314,주주들,16
1328,중국,15
884,설명,14
1159,이사회,14
546,김기남,14
890,성장,14
408,강화,14
702,미래,13
329,IoT,13
894,세계,13
1518,판매,13
681,메모리,13
1239,전망,12
527,기관,12
1295,주가,12
857,상황,12
936,수요,12
738,방침,12
1477,코스피,12
701,미국,12
1513,파운드리,11
393,가전,11
1642,회사,11
904,센터,11
938,수원,11
1536,폐쇄,11
534,기업,11
1255,점유,11
1251,전자투표제,11
228,5G,10
526,기간,10
1036,업체,10
403,감염증,10
945,수준,10
1203,작성,10
1260,정기,10
292,AI,10
1428,총회,10
1304,주식,10
1023,애플,10
879,선임,10
407,강조,10
1146,의장,10
676,매장,10
457,경험,9
1049,여파,9
1027,양산,9
418,거래,9
1291,종목,9
1322,주총장,9
454,경제,9
1200,자체,9
1067,영업,9
617,대표,9
769,부문장,9
645,디스플레이,9
677,매출,9
551,김현석,9
772,부품,9
299,CE,9
554,나무,8
860,생산,8
298,C-Biz봇,8
652,로봇,8
531,기사,8
431,격차,8
463,고동진,8
1598,혁신,8
991,신종,8
1001,실적,8
1162,이익,8
1297,주도,8
85,17일,8
999,실시간,8
1340,증권플러스,8
872,선도,8
1348,지속,8
941,수원컨벤션센터,8
1470,코로나,8
796,비중,8
1449,출시,8
804,사내,8
942,수익,8
1472,코로나바이러스,8
1103,운영,8
1644,회의,8
1090,외부,7
1337,증가,7
304,Crude,7
948,순매도,7
355,S&P,7
1124,유가,7
327,Index,7
1567,한강에셋,7
1570,한국,7
961,승인,7
1395,창사,7
1445,추종,7
377,WTI원유,7
926,솔루션,7
770,부진,7
1130,유지,7
850,상장,7
1013,안건,7
1416,체험,7
478,공매도,7
589,달성,7
539,기준,7
1461,캐나다,7
675,매입,7
1276,제외,6
648,라인업,6
632,돌파,6
1315,주주총회,6
417,갤럭시,6
1592,핵심,6
1344,증시,6
616,대통령,6
643,디램,6
687,모델,6
1602,현대모비스,6
910,소비자,6
689,모바일,6
513,금액,6
449,경쟁사,6
805,사내이사,6
1463,컨벤션,6
490,관세,6
825,사태,6
496,구축,6
828,산업,6
1037,업황,6
777,분야,6
1525,펀드,6
1488,테마,6
328,Inverse,6
541,기초지수,6
348,Oil,6
851,상장사,6
1074,영향,6
1235,전년,6
1555,프리미엄,6
1196,자산,6
1386,차질,6
461,고객,6
91,18일,6
1167,인공지능,6
1248,전일,6
800,빌딩,6
886,설치,6
324,IM,6
1058,연구원,5
1110,원어치,5
1271,제공,5
973,시점,5
233,5세대,5
966,시대,5
1186,입구,5
1083,온라인,5
1066,영상,5
1141,의결,5
370,TR,5
1084,옴니타워,5
971,시작,5
307,DS,5
1078,예정,5
1088,외국인들,5
312,ETF,5
31,1000여명,5
587,단위,5
746,법인,5
474,공급,5
837,삼성전기,5
1593,행사,5
579,뉴욕상품거래소,5
1435,최대,5
717,반대,5
720,반등,5
103,1주일,5
561,냉장고,5
556,날짜주가등락률,5
505,규모,5
51,11일,5
1494,통신,5
80,16일,5
530,기록,5
553,나노급,5
57,12일,5
63,13일,5
1419,초격차,5
543,기회,5
849,상위,5
619,대형,5
1339,증권사,5
1641,회복,5
637,동향,5
438,경기,5
1311,주재,5
1627,확보,5
654,리더십,5
672,매매내역,5
1609,현황,5
144,2X,5
1371,진행,5
1300,주력,5
130,22.23%,5
1338,증권,5
1077,예상,4
735,방역,4
301,CE부문,4
1105,운용,4
295,B2B,4
651,레버리지,4
570,노트,4
590,답변,4
962,시가,4
514,금융,4
624,데이터,4
758,보수,4
930,수량,4
920,속도,4
895,세계적,4
435,결정,4
977,시총,4
880,선점,4
447,경쟁,4
993,신한,4
448,경쟁력,4
1116,위기,4
353,QV,4
846,상승폭,4
1024,애플스토어,4
1031,업계,4
830,삼성SDI,4
483,공정,4
817,사외,4
1051,역량,4
495,구조,4
816,사옥,4
501,권고,4
401,감소,4
1062,연속,4
318,GSCI,4
768,부동산,4
863,서버,4
0,,4
200,47,4
1507,특별,4
1426,총액,4
1241,전문,4
220,512GB,4
1383,차세대,4
1179,일진머티리얼즈,4
1324,준법,4
1182,임시,4
1373,질문,4
1157,이미지센서,4
1332,중심,4
1351,지역,4
1349,지속적,4
1219,재선임,4
1217,재무제표,4
1556,플래그십,4
1610,협력,4
1294,좌석,4
1237,전략,4
99,1위,4
1120,위축,4
96,1분기,4
192,400여명,4
1582,한진칼,4
1580,한종희,3
414,개최,3
923,손소독제,3
552,나노,3
1327,준비,3
1290,종가,3
729,발언,3
1274,제시,3
917,소재,3
706,미래한국당,3
732,발열체크,3
380,eUFS,3
52,12,3
1325,준법감시위,3
563,네트워크,3
1284,조사,3
388,가능,3
715,박재완,3
1574,한도,3
1564,하드웨어,3
726,발동,3
725,발굴,3
944,수입,3
906,셀트리온,3
559,낸드,3
943,수익성,3
397,가치,3
560,낸드플래시,3
1289,조치,3
911,소비자가전,3
947,순매,3
1341,증대,3
1422,초기,3
831,삼성SDI우,3
1437,최소화,3
1439,최악,3
1441,최윤호,3
110,20.62%,3
487,관계자,3
488,관리,3
1482,클라우드,3
492,구리,3
818,사외이사,3
1464,컨벤션센터,3
801,빌트인,3
1469,코로,3
813,사업부장,3
810,사상,3
809,사물인터넷,3
803,사과,3
834,삼성물산,3
847,상용,3
897,세로,3
848,상용화,3
740,배당,3
61,133조,3
155,3.1,3
963,시가총액,3
1353,지원,3
1356,지정,3
1358,지정좌석제,3
876,선물인버스,3
147,2배,3
754,보라매,3
1532,평균,3
1375,질의,3
1382,차별화,3
1495,통신망,3
853,상정,3
1493,통과,3
783,브랜드,3
436,결합,3
94,1~3월,3
300,CEO,3
1025,액면분할,3
1638,활용,3
350,QD,3
29,100%,3
599,대기,3
347,OLED,3
1151,이동,3
1015,안전,3
1016,안정적,3
1629,확산세,3
588,달러,3
1607,현지,3
1057,연관,3
352,QLED,3
1214,재개장,3
1163,이재용,3
598,대금,3
1213,재개,3
1268,정의선,3
1043,엔드,3
1212,장소,3
673,매수,3
1169,인도,3
235,5조,3
325,IM부문,3
1054,연결,3
308,DS부문장,3
1093,요구,3
1125,유가증권시장,3
375,VIX,3
1633,확진자,3
204,4만,3
1063,연일,3
1265,정부,3
277,8K,3
369,TIGER,3
618,대표이사,3
1068,영업이익,3
1000,실장,3
1261,정도,3
670,매도세,3
1256,점유율,3
1634,환경,3
364,SK하이닉스,3
34,10년,3
1594,행사장,3
982,신규,3
361,SK,3
1142,의결권,3
1133,유통,3
644,디스,2
647,라이프,2
1504,투표,2
776,분기,2
1499,투명,2
650,런던상품거래소,2
784,브렌트원유,2
1635,환경변화,2
782,붕괴,2
704,미래에셋대우,2
787,비교,2
788,비례,2
1650,휴대성,2
633,동기,2
635,동시,2
1649,휴대,2
1645,효율,2
1480,퀀텀닷,2
1639,황교안,2
797,비치,2
1483,클럽,2
636,동영,2
640,등기,2
1486,탑재,2
641,등락률,2
1487,태블릿,2
1636,환율,2
794,비스포크,2
792,비상,2
1630,확인,2
