,키워드,빈도
13,SK하이닉스,9
117,이석희,7
8,KODEX,7
144,주주,7
11,SK,6
138,제품,5
84,수요,5
184,하이닉스,5
43,대표,4
38,기관,4
46,레버리지,4
70,삼성전자,4
19,개선,4
6,CEO,4
171,코로나19,4
147,주총,4
48,매수,4
22,거래소,3
76,선임,3
140,종목,3
79,성균관대,3
33,교수,3
37,극대화,3
73,생산,3
66,사장,3
65,사외이사,3
190,확대,3
192,확산,3
118,이천,3
63,사내이사,3
74,서버,2
72,상위,2
154,차례,2
156,착용,2
157,참석,2
151,증대,2
64,사업장,2
195,효율성,2
142,주가,2
87,승인,2
145,주주들,2
120,입장,2
125,재선임,2
113,의결,2
129,전망,2
130,전문,2
109,원가,2
105,완화,2
103,영향,2
102,영빈관,2
101,연내,2
137,정기,2
139,제한,2
95,안건,2
141,좌석,2
160,체온,2
143,주식,2
90,시황,2
123,재고,2
61,부담,2
121,자산,2
47,마스크,2
179,투자자,2
178,투자,2
28,경쟁력,2
58,법학,2
16,감염증,2
170,코로,2
169,측정,2
168,출입,2
14,간격,2
187,한애라,2
188,혁신,2
44,대학원,2
42,대비,2
54,박정호,2
165,최적화,2
194,회복,2
162,총회,2
189,호황기,2
51,미국달러선물레버리지,2
191,확보,2
53,바이러스,2
56,방식,2
49,모바일,2
126,재신임,1
183,하락,1
185,한경로보뉴스,1
134,전자전기공학부,1
124,재무제표,1
193,환경,1
133,전자,1
132,전일,1
131,전반적,1
186,한도,1
128,전기,1
135,접촉,1
127,적극,1
182,플래,1
161,총수,1
136,정관,1
181,포함,1
159,체력,1
163,최소,1
158,참석자,1
164,최우선,1
155,차세대,1
166,추구,1
153,진행중,1
152,지급,1
167,추진,1
150,중점적,1
149,중심,1
148,주총장,1
146,주주총회,1
172,코로나바이러스,1
173,코스닥,1
174,클러스터,1
176,통과,1
177,퇴직금,1
180,판매,1
175,텔레콤,1
0,03월,1
122,자산효율화,1
60,보수,1
29,계획,1
30,고객사,1
31,공급,1
32,공장,1
34,구성원,1
35,구축,1
36,규정,1
39,기타비상무이사,1
40,낸드,1
41,달러,1
45,동시,1
50,미국,1
52,미래,1
55,반도체,1
57,방지,1
27,경영환경,1
26,경기도,1
25,경기,1
10,NAVER,1
2,2m,1
3,5.7%,1
4,8.41%,1
5,83.33%,1
7,D램,1
9,LG화학,1
12,SK텔레콤,1
24,건설,1
15,감사,1
17,강조,1
18,강화,1
20,개정,1
21,개최,1
23,거리,1
59,변경,1
62,부여,1
119,임원,1
67,사회,1
96,안전,1
97,업종,1
1,20일,1
99,엔씨소프트,1
100,여파,1
104,예년,1
106,외부,1
107,외부인,1
108,용인,1
110,원안,1
111,위원,1
112,위원회,1
114,의장,1
115,이날,1
116,이사회,1
94,실천,1
93,신창환,1
92,신종,1
80,성장,1
68,삼성SDI,1
69,삼성전기,1
71,상승,1
75,선물,1
77,선택,1
78,설명,1
81,소독,1
91,신규,1
82,소유,1
83,손소독,1
85,수익률,1
86,수준,1
88,시장,1
89,시장확대,1
98,업황,1
