,키워드,빈도
615,삼성전자,133
699,스마트폰,44
509,메모리,40
719,시장,39
635,샤오미,33
271,eUFS,25
87,3.1,25
679,속도,24
947,제품,24
903,저장,21
1090,탑재,18
1056,출시,18
753,양산,18
657,세계,18
122,512GB,17
537,반대,17
392,글로벌,16
1199,화소,16
642,선물,15
406,기업,15
778,연속,15
785,영화,14
977,중국,14
525,미국,14
1080,코로나19,14
661,센서,13
611,삼성,13
1169,행사,13
538,반도체,13
773,연기,13
1166,해외,13
86,3.0,13
452,데이터,12
482,레이쥔,12
604,사운드바,12
49,1억,12
717,시안,12
791,예정,11
345,계획,11
1036,최고,11
958,종목,11
952,조사,10
191,CEO,10
515,모바일,10
403,기록,9
718,시작,9
608,사진,9
690,수준,9
222,LG전자,9
252,SK하이닉스,9
745,안건,9
39,17일,9
426,냉장고,9
626,상위,9
118,4초,8
756,업계,8
1113,특허,8
956,조형물,8
868,인포콤,8
816,웨이퍼,8
851,이사,8
368,관계자,8
352,공개,8
354,공급,8
393,금액,8
483,렌털,8
971,주총,8
597,사업부,8
593,사내,7
973,주총장,7
804,용량,7
359,공매도,7
967,주주,7
644,선임,7
1148,플래그십,7
915,전시회,7
259,TV,7
293,가격,7
433,노트북,7
410,기준,7
1202,화질,7
1069,카메라,7
213,ITC,7
698,스마트,7
218,KODEX,7
933,정수기,7
758,업체,7
580,북미,6
495,마케팅,6
1130,포럼,6
355,공기,6
322,거래소,6
887,자체,6
1104,투자자,6
1067,침해,6
602,사용,6
400,기관,6
1084,코스피,6
1024,청정기,6
0,,6
727,신제품,6
682,수량,6
654,성능,6
782,영상,6
784,영향,5
923,점유,5
616,삼성전자우,5
920,전자투표제,5
50,1위,5
1211,회사,5
668,소비자,5
471,디스플레이,5
1040,최대,5
792,오디오,5
768,여파,5
827,유럽,5
311,감염증,5
849,이미지,5
389,규모,5
584,브라이트,5
961,주가,5
314,강화,5
995,지난달,5
375,교체,5
1153,필터,5
1177,현대차,5
1176,현대모비스,5
220,LG,5
296,가동,5
797,올림픽,5
294,가능,5
1006,진출,5
994,증시,5
631,생산,5
802,요구,5
968,주주들,5
229,NAVER,5
20,128GB,5
774,연기금,4
558,버스2,4
19,1200MB,4
1064,취소,4
1179,현지,4
841,의사,4
855,이익,4
476,라인,4
769,역대,4
1083,코로나바이러스,4
477,라인업,4
1045,최철,4
680,송경화,4
944,제조,4
945,제조사,4
726,신규,4
876,입장,4
465,동남아,4
208,HW-Q,4
500,맞춤,4
521,물량,4
338,경쟁력,4
396,기가바이트,4
573,부사장,4
199,FHD,4
911,전략,4
815,웨이보,4
975,준비,4
1117,파운드리,4
606,사장,4
1159,한계,4
919,전자투표,4
663,셀트리온,4
428,네오드론,4
763,엔씨소프트,4
1160,한국,4
1016,차질,4
363,공장,4
442,대비,4
807,울트라,4
95,3배,4
