,키워드,빈도
611,삼성전자,112
119,AI,41
598,삼성,36
334,냉장고,33
918,이날,29
199,개인,28
638,서비스,24
1089,주식,23
497,반도체,22
740,시장,19
428,로봇,18
207,거래,16
117,9만,15
652,설명,15
125,CES,15
1050,제품,15
319,기업,15
1048,제트봇,14
939,인텔,14
1309,한국,13
793,액티브,13
606,삼성봇,13
633,생산,13
316,기록,13
155,TV,13
1039,제공,13
172,가전,13
941,일상,13
1263,파운드리,13
592,사장,12
1254,특허,12
1329,혁신,12
129,ETF,12
146,NPE,12
187,강남,12
1274,펀드,12
665,세계,12
681,소비자,11
254,공개,11
482,미국,11
1077,주가,11
997,적용,11
167,가능,11
677,소개,11
937,인식,11
750,식재료,11
204,갤럭시,10
786,안철수,10
723,스마트싱스,10
1194,출시,10
739,시작,10
1302,하락,10
1161,청소,10
387,대표,10
1358,활용,10
587,사용자,10
1350,확대,9
154,TSMC,9
1103,중심,9
1244,투자,9
447,매수,9
721,스마트,9
1176,최고,9
807,업체,9
672,센서,9
957,자동,9
847,오븐,9
486,미래,9
444,맞춤,9
198,개선,9
1215,코로나19,8
1213,케어,8
648,선택,8
926,이용,8
1232,탑재,8
569,비스포크,8
1055,조리,8
878,원격,8
123,BTS,8
1001,전망,8
1181,최대,8
301,글로벌,8
1361,회사,8
467,모습,8
1220,코스피,8
576,사람,8
1352,확인,8
429,로봇청소기,8
239,경험,7
757,신제품,7
427,레시피,7
907,음식,7
684,소송,7
18,11일,7
1265,파크텐,7
708,수익,7
1185,최적화,7
500,반려동물,7
660,성장,7
1123,지속,7
888,위탁생산,7
135,IoT,7
17,11만,6
725,스크린,6
404,돌파,6
378,대만,6
492,바이오,6
1072,종목,6
724,스마트폰,6
340,노력,6
853,온라인,6
1246,투자자,6
363,단계,6
1322,핸디,6
1256,특허괴물,6
1199,취향,6
1012,전자,6
456,메모리,6
595,산업,6
1321,핵심,6
436,마감,6
1177,최고가,6
322,기준,6
1085,주문,6
547,부동산,6
980,장중,6
314,기대감,6
639,서빙,6
