,키워드,빈도
1033,현대차증권,2
241,감가상각비,2
702,원인,2
701,원어치,2
1028,현대모비스,2
1027,현대,2
741,인수,2
251,개인,2
254,갤럭시S21,2
258,건강,2
697,원가량,2
696,원가,2
695,움직임,2
263,견제,2
824,제재,2
1013,한국,2
586,스크린,2
689,우리나라,2
271,경계론,2
1010,하원,2
688,요인,2
276,경제,2
568,송수신,2
827,조건들,2
550,세트,2
1036,현지시간,2
167,9%,2
1037,협의,2
205,LG화학,2
1067,효율적,2
186,D램,2
187,D램값,2
73,2분기,2
1063,회의,2
191,IBK,2
1062,회사,2
179,CE사업부문,2
731,이동통신,2
199,KTB,2
200,LCD,2
821,제어장치,2
1054,환기,2
231,가동,2
208,OLED,2
574,수용,2
1051,확정,2
713,유도,2
712,유기발광다이오드,2
218,SK하이닉스,2
219,TCL,2
822,제외,2
1044,화상,2
224,pent,2
225,up,2
9,100달러,2
1000,풀이,2
1002,프리미엄,2
680,예정,2
587,스톤파트너스,2
353,노근창,2
354,노트,2
846,주력사업,2
357,눈꺼풀,2
86,3100선,2
361,단계,2
362,달가량,2
556,소비,2
769,장비,2
770,장악,2
555,소개,2
372,대장,2
772,장착,2
834,졸음,2
941,컨트롤,2
379,데이터,2
937,커넥티드,2
936,캠핑,2
776,재택근무,2
641,어닝서프라이즈,2
778,재확산,2
395,딥러닝,2
397,라이프,2
926,출고가,2
812,정도,2
401,록다운,2
402,리모트,2
352,네이버,2
351,네오,2
348,낸드플래,2
319,극대화,2
289,공격적,2
994,평택,2
678,예상치,2
991,편집,2
295,공백,2
990,편의성,2
830,조사,2
310,구축,2
17,10만,2
313,국면,2
315,군집,2
84,3000억,2
563,소통,2
153,7일,2
321,금액,2
962,탑승자들,2
340,김운호,2
339,김양재,2
759,자사,2
970,투자심리,2
972,투자증권,2
327,긍정적,2
562,소자,2
975,특수,2
672,영역,2
764,작용,2
811,점유율,1
815,정상,1
53,21조,1
814,정보기술,1
180,Cockpit,1
809,절반가량,1
807,전환,1
760,자유,1
758,자리,1
757,자동차부품,1
68,29%,1
753,일정,1
752,일시,1
751,일등공신,1
750,일등,1
749,인플레이션,1
746,인터네셔널,1
745,인터내셔널,1
744,인캐빈,1
739,이주완,1
737,이용,1
736,이베스트투자증권,1
735,이민아,1
734,이미지,1
733,이름,1
732,이동통신업계,1
730,이동제한령,1
71,2~3년,1
762,자율주행,1
65,27.1%,1
767,장기,1
58,2483억,1
806,전통,1
805,전초,1
804,전지주,1
801,전자제품,1
800,전자장비,1
798,전시회,1
56,230조,1
792,전문,1
791,전망치,1
786,전년대비,1
768,장기화,1
784,전기차,1
783,전기,1
782,전격,1
781,적자,1
62,2588억,1
779,저력,1
774,재고,1
63,2633억,1
64,27%,1
775,재진입,1
36,1개월,1
52,21%,1
13,1088원,1
984,패턴,1
986,팹리스,1
987,퍼스트,1
14,1090.4원,1
995,포스코경영연구원,1
996,포인트,1
999,폴더블폰,1
978,티브이,1
1001,프로모션,1
1003,플래시,1
1005,필두,1
12,101만,1
1008,하루만,1
11,100조,1
16,10년,1
18,10월,1
1012,하이투자증권,1
22,1200원,1
955,크기,1
956,크리에이터,1
957,큰손,1
958,클럽,1
959,타격,1
960,탑승,1
21,120.50포인트,1
19,11만,1
965,턱걸이,1
966,턴어라운드,1
20,11월,1
968,통제,1
971,투자자,1
973,투표,1
1011,하이닉스,1
1014,한국시간,1
23,1207억,1
1058,활동,1
7,1.9%,1
5,1.67%,1
1050,확인,1
1052,환경,1
1053,환경적,1
4,1.45%,1
1059,활성,1
1045,화상회의,1
3,1.2%,1
1061,회계,1
1064,횡단보도,1
1065,횡보,1
2,1.07포인트,1
1069,흑자,1
8,1000선,1
1043,호황기,1
1015,한국은행,1
1022,해외,1
1016,한국채택,1
1017,한편,1
1018,할인,1
1019,할인판매,1
1020,합동위원회,1
1021,해상도,1
1025,향기,1
1040,호재,1
1029,현대위아,1
1030,현대자동차,1
1032,현대차그룹,1
1034,현상,1
1035,현실화,1
1038,호실,1
954,퀄컴,1
952,콘서트,1
823,제작,1
872,증강현실,1
863,중국,1
866,중소,1
867,중시,1
46,2016년,1
870,중저가,1
45,2000억,1
42,2.3%,1
861,준비,1
877,증설,1
41,2,1
881,지난해말,1
882,지배권,1
39,1월,1
885,지수,1
862,중간,1
47,2017년,1
895,집행,1
839,종전,1
825,제조업,1
51,2024년,1
829,조명,1
833,조지아주,1
836,종료,1
838,종목들,1
841,좌우,1
857,주춤,1
847,주목,1
848,주문,1
849,주문생산,1
852,주인공,1
853,주정차,1
856,주축,1
891,진행,1
35,1~2분기,1
24,120포인트,1
28,16.45%,1
29,16.9%,1
933,카카오뱅크,1
934,카카오페이,1
935,카툭튀,1
938,커뮤니케이션,1
939,커버리지,1
942,케이,1
928,출하,1
943,케이티비,1
27,14만,1
26,14%,1
947,코스닥,1
948,코스닥지수,1
950,코스피지수,1
930,침체,1
30,16조,1
899,차원,1
913,촬영,1
900,차은지,1
902,창작,1
903,책정,1
905,첫선,1
906,체면,1
909,초기단계,1
916,최고치,1
925,출격,1
33,19%,1
918,최영산,1
919,최종,1
922,추세,1
31,171만,1
924,축적,1
72,2년,1
625,안테,1
725,의원,1
360,다변화,1
344,납품,1
347,낸드,1
349,낸드플래시,1
350,냉장고,1
355,노트북,1
356,논란,1
358,다리,1
359,다변,1
145,7.77%,1
342,김학균,1
365,닷컴,1
366,당선인,1
144,7.3%,1
368,대선,1
369,대신증권,1
370,대유행,1
371,대응,1
373,대주주,1
343,날개,1
341,김철중,1
724,의거,1
152,7거래일,1
306,구입,1
308,구체,1
309,구체적,1
312,국가대표,1
314,국제,1
317,그동안,1
322,금융,1
323,금융투자,1
151,7~9월,1
338,김광현,1
150,71조,1
149,70조,1
148,700만,1
147,70%,1
333,기아차,1
335,기인,1
146,7.83%,1
337,긴급,1
374,대통령,1
143,7.24%,1
377,덜미,1
431,물건,1
133,6.63%,1
132,6.39%,1
420,모델,1
131,6%,1
423,모습,1
424,목소리,1
428,무선,1
429,무역제재,1
129,5위,1
378,데이,1
435,미래,1
436,미래성장동력,1
437,미래에셋대우,1
