,키워드,빈도
72,실적,6
42,마이크론,6
24,SK하이닉스,6
19,LG화학,4
17,KINDEX,4
83,외국인,4
105,코로나19,3
29,거래소,3
91,종목,3
47,반도체,3
69,시장,3
37,달러,3
58,상위,2
63,수요,2
115,현대차,2
92,주가,2
114,한숨,2
66,순매도,2
44,매출,2
109,투자자,2
102,추정,2
54,삼성전자,2
74,업계,2
81,영향,2
60,서버,2
36,기록,2
84,우세,2
82,온라인,1
0,,1
80,영업,1
79,연도,1
78,연구원,1
77,업황,1
76,업체,1
85,이날,1
73,양호,1
71,실망,1
70,신종,1
68,시안,1
75,업종,1
90,전일,1
86,이노베이션,1
103,춘제,1
117,화학,1
116,현지시간,1
113,한경로보뉴스,1
112,하락,1
111,포함,1
110,평균,1
108,투자,1
107,클라우드,1
106,코로나바이러스,1
104,컨센서스,1
101,차질,1
87,이익,1
100,지속,1
99,증권사,1
98,증권,1
97,증가,1
96,중점적,1
95,중단,1
94,중국,1
93,주문,1
89,전망,1
88,재택근무,1
67,스마트폰,1
59,생산,1
65,순매,1
64,수준,1
27,가동,1
26,가늠자,1
25,가늠,1
23,SK텔레콤,1
22,SK이노베이션,1
21,SK,1
20,NH,1
18,LG생활건강,1
16,CEO,1
15,47억,1
14,4.5%,1
13,2월,1
12,2분기,1
11,26일,1
10,25일,1
9,2020회계,1
8,2020년,1
7,2019년,1
6,200,1
5,2.6%,1
4,1분기,1
3,1~3월,1
2,12월,1
28,감염증,1
30,공개,1
31,공장,1
49,반응,1
62,세계,1
61,설명,1
1,03월,1
57,상승,1
56,상쇄,1
55,삼성전자우등,1
53,삼성생명,1
52,삼성SDI,1
51,산제,1
50,사태,1
48,반도체업계,1
32,관심사,1
46,모바일,1
45,메흐로트라,1
43,매도,1
41,뚜껑,1
40,도현우,1
39,대표,1
38,대비,1
35,기간,1
34,금융지주,1
33,교육,1
118,확산,1
