,키워드,빈도
426,삼성전자,50
355,반도체,32
515,시장,26
509,시냅스,25
150,갤럭시,23
724,지급,19
409,사업,18
401,비스포크,16
496,수출,15
692,제품,15
345,미국,15
687,제거,15
527,실적,15
729,지원,14
231,기억,14
252,냉장고,13
663,전망,13
373,별아교세포,12
622,이익,12
277,대비,12
90,AI,12
768,출시,12
227,기록,11
267,달러,11
717,증가,11
393,분야,11
572,연구팀,11
423,삼성,11
585,예상,11
610,유지,10
155,건조기,10
778,캠퍼스,10
197,교수,10
579,영업,10
504,스토어,10
502,스마트폰,9
471,세탁기,9
580,영업이익,9
469,세계,9
868,형성,9
461,설명,9
347,미세아교세포,9
421,산업부,9
124,SK하이닉스,9
490,수요,8
363,방식,8
230,기본급,8
346,미래,8
812,판매,8
564,역할,8
880,확대,8
861,현상,7
390,분기,7
129,가격,7
323,매출액,7
260,뉴런,7
473,세포,7
169,경제,7
852,한국,7
468,성장,7
425,삼성미래기술육성사업,7
799,투자,7
136,가전,7
120,PS,7
2,100%,7
457,선정,6
209,규모,6
587,예정,6
685,정원석,6
557,업황,6
113,LG전자,6
66,5일,6
563,역대,6
813,패널,6
164,결과,6
662,전년,6
465,성과급,6
127,TV,5
734,직전,5
119,PI,5
565,연간,5
264,닛케이,5
704,주가,5
322,매출,5
130,가능,5
462,설비,5
725,지난,5
138,감소,5
494,수준,5
791,탑재,5
217,글로벌,5
776,카이스트,5
173,계획,5
407,사상,5
194,관심,5
658,적용,5
364,배당,5
761,최대,5
283,대학,5
357,반영,5
232,기업,5
871,호조,5
759,최고,5
27,1조,5
206,국제,4
714,중국,4
505,스틸,4
279,대상,4
275,대보건설,4
478,소비자,4
789,타입,4
13,11만,4
520,신경,4
144,강화,4
212,그랑데,4
37,2조,4
178,공급,4
93,CES,4
613,이달,4
672,전환,4
671,전자,4
470,세탁,4
569,연구원,4
688,제공,4
32,2013년,4
325,메모리,4
317,마련,4
836,플립,4
817,평가,4
301,드럼,4
420,산업,4
428,상무,4
389,북미,3
208,규명,3
777,캐나다,3
634,임원,3
359,발견,3
762,최적,3
210,그간,3
445,생체,3
444,생쥐,3
380,본부,3
869,혜택,3
438,생명,3
507,시가,3
625,인공지능,3
893,회사,3
431,상승,3
892,회복,3
766,추천,3
202,구성,3
284,대학생,3
677,정보,3
448,생활,3
497,수출액,3
291,도시정비사업,3
784,코로나19,3
293,도어,3
297,동기,3
708,주택,3
611,육성,3
464,성과,3
697,조절,3
320,맞춤,3
727,지속,3
689,제시,3
484,소폭,3
333,모바일,3
250,낸드,3
743,차지,3
489,수상,3
238,기초과학,3
338,목표주가,3
683,정수,3
680,정부,3
351,바탕,3
752,초과,3
416,사이,3
840,하락,3
570,연구원들,3
588,예측,3
521,신경교세포,3
851,학습,3
103,H&A,3
844,하이닉스,3
576,연중,3
514,시작,3
536,악화,3
561,여부,3
135,가입,3
175,공개,3
584,영향,3
583,영입,3
82,8만,3
809,파운드리,3
833,플렉스,3
342,물량,2
89,9조,2
324,매트,2
574,연봉,2
327,메이커,2
573,연말,2
452,서비스,2
548,양호,2
550,억제,2
616,이미지센서,2
552,얼음,2
679,정보통신기술,2
336,모습,2
684,정수기,2
85,900%,2
84,9.5,2
176,공공,2
887,환율,2
577,연초,2
459,선호,2
888,활동,2
533,아이스메이커,2
863,현지,2
467,성인,2
296,돌파구,2
591,오픈,2
535,아파트,2
612,은상,2
300,듀얼,2
106,IDEA,2
705,주력,2
104,ICT,2
305,디자,2
306,디자인,2
582,영업익,2
701,종류,2
538,애플,2
699,조현병,2
312,랠리,2
698,조정,2
4,1000억,2
1,10.2%,2
318,마케팅,2
451,서버,2
674,접목,2
449,샴페인,2
436,상황,2
626,인기,2
566,연결,2
854,한국뇌연구원,2
