,키워드,빈도
620,삼성전자,89
614,삼성,36
254,ETN,34
645,선물,32
854,임금,31
15,03월,26
621,삼성증권,25
842,인상,23
418,기관,20
327,개설,20
359,계좌,19
1035,코로나19,18
939,주식,18
303,가격,18
799,원유,18
627,상승,17
298,WTI,16
1095,하락,15
702,시장,15
97,2.5%,15
607,사회,14
789,외국인,14
1075,폭력,14
709,신규,14
264,KODEX,14
197,5G,13
362,고객,13
596,사이버,13
1000,채용,13
335,거래,13
1153,확대,13
1150,화웨이,13
417,기간,13
840,인버스,12
534,반도체,12
886,적용,11
1033,코끼리,11
929,조사,11
776,예방,11
468,대비,11
426,기업,11
446,노사협의회,11
944,중국,10
123,25일,10
357,경험,10
1003,청소년,10
436,나무,10
1164,회사,10
395,교육,10
429,기여,10
431,기준,9
1112,합의,9
719,실시간,9
289,SK하이닉스,9
591,사업,9
979,직원,9
871,작성,9
1078,표준,9
935,주가,9
932,종목,9
297,WG,9
293,TSG,9
953,증권사,9
422,기록,8
875,장비,8
423,기사,8
915,정부,8
959,지급,8
694,스마트폰,8
618,삼성디스플레이,8
1115,해결,8
687,수행,8
955,증권플러스,8
124,26일,8
870,자체,8
384,관계자,8
1055,투자,8
825,이날,8
491,로봇,8
860,임직원,8
1037,코스피,8
843,인상률,8
847,인프라,8
381,공장,8
241,C-Biz봇,8
1104,한국,7
329,개인,7
246,Crude,7
974,지점,7
749,업체,7
473,대학,7
299,WTI원유,7
926,제출,7
636,생산,7
656,설명,7
433,기초지수,7
1019,추종,7
684,수익,7
985,진행,7
261,Index,7
592,사용,7
862,입국,7
378,공매도,7
701,시작,7
161,3월,7
720,실적,7
284,S&P,7
899,전일,7
1056,투자자,7
496,마이크론,6
804,위기,6
809,유가,6
768,연장,6
270,MLP,6
698,승인,6
744,업계,6
469,대상,6
471,대표,6
143,3.5%,6
136,3,6
262,Inverse,6
751,에너지,6
971,지원,6
122,24일,6
633,상황,6
583,비자,6
570,봉사단,6
1057,특별,6
533,반대,6
334,갤럭시,6
1073,포인트,6
795,운영,6
630,상위,6
631,상장,6
361,계획,6
949,증가,6
407,글로벌,6
118,20일,6
319,감염증,6
36,10만,5
457,단위,5
121,23일,5
490,레버리지,5
714,신종,5
1036,코로나바이러스,5
554,베트남,5
1045,테마,5
439,날짜주가등락률,5
721,실제,5
775,예년,5
1090,플립,5
252,ETF,5
187,5.24%,5
391,광저우,5
409,금액,5
839,인력,5
358,계열사,5
506,매수,5
806,위원,5
777,예방교육,5
505,매매내역,5
452,뉴욕상품거래소,5
1064,패밀리넷몰,5
495,마무리,5
903,절반,5
1137,협상,5
292,TR,5
430,기여도,5
1128,현대차,5
912,정립,5
1155,확산,5
1118,해외,5
324,개미,5
342,격리,5
897,전세기,5
995,참여,5
629,상승폭,5
307,가능,5
80,19일,5
279,Oil,5
277,OLED,5
888,전국,5
89,1주일,5
952,증권,5
484,동향,5
475,대한항공,4
315,각국,4
654,설득,4
753,에릭슨,4
752,에디션,4
680,수량,4
504,매매,4
396,교육부,4
771,영업,4
710,신규고객,4
746,업무,4
394,교사,4
740,양산,4
427,기업들,4
444,네트워크,4
285,SA,4
724,실태,4
382,공헌,4
259,GSCI,4
553,버스2,4
344,결정,4
266,LG,4
353,경제,4
712,신입,4
597,사이버폭력,4
582,비율,4
448,노키아,4
1051,통신,4
1074,포함,4
857,임금협상,4
180,48,4
841,인사,4
1048,톰브라운,4
87,1위,4
992,차질,4
1061,판단,4
838,이익,4
1062,판매,4
191,50만,4
1068,평가,4
1070,평균,4
195,57세,4
826,이달,4
85,1만,4
205,61%,4
1149,화상면접,4
1143,혜택,4
1101,학부모,4
1098,하이닉스,4
1092,피크제,4
130,2월,4
1161,활동,4
900,전자,4
609,사회복지공동모금회,3
296,VIX,3
682,수요,3
86,1분기,3
604,사태,3
294,Top5PlusTR,3
603,사측,3
343,결과,3
311,가전,3
920,제공,3
930,조치,3
647,선발,3
339,건수,3
989,차등,3
336,거래소,3
82,1~3월,3
960,지난달,3
308,가동,3
958,증시,3
945,중단,3
317,감안,3
101,2.9%,3
212,6위,3
594,사원,3
1006,체류,3
459,달러,3
467,대면,3
481,동결,3
1132,현장,3
1114,항목,3
1102,학생,3
416,급파,3
415,급증,3
1085,프로젝트,3
412,금현물,3
1084,프로그램,3
410,금융,3
1083,풋매,3
1071,평점,3
402,그룹,3
518,모바일,3
398,구축,3
528,미래,3
1058,파견,3
1054,투입,3
911,정도,3
559,보장,3
1038,콘텐츠,3
578,브랜드,3
364,고과,3
919,정책,3
976,직급,3
845,인재,3
247,Cushing,3
877,재개,3
267,LG디스플레이,3
171,4.96%,3
265,KRX,3
173,40~50대,3
852,일정,3
258,GBC,3
844,인원,3
725,실행,3
194,55세,3
697,승강기,3
827,이동,3
756,엔지니어,3
234,Alerian,3
759,역량,3
761,연관,3
765,연령대,3
774,영향,3
780,예정,3
786,완판,3
159,3분,3
0,,3
287,SK,3
690,순매도,3
283,QV,3
940,주식계좌,2
501,만큼,2
509,매출,2
755,엔드,2
922,제안,2
921,제시,2
1079,푸른나무재단,2
500,만점,2
1081,푸른코끼리,2
769,열풍,2
895,전문,2
764,연령,2
824,이견,2
511,메리츠종금증권,2
925,제작,2
833,이름,2
522,무선기술규격그룹,2
669,셀트리온,2
1069,평가영역,2
835,이사,2
524,문용린,2
836,이사장,2
1063,패널,2
739,양보,2
660,세계,2
538,반영,2
540,발견,2
542,발굴,2
543,발급,2
737,애플리케이션,2
493,루게릭,2
820,의사소통,2
732,안팎,2
815,육박,2
1167,휠체어,2
1163,활용,2
458,단체,2
798,원어치,2
793,우수,2
460,달력,2
792,우세,2
1159,환자,2
1158,환율,2
1156,확인,2
1154,확보,2
803,월급날,2
1146,홈페이지,2
788,외국,2
1136,협력사,2
916,정상,2
1135,협력,2
784,온라인,2
1131,현안,2
483,동참,2
1119,핵심,2
901,전지,2
1110,할인,2
486,등락률,2
1108,한숨,2
1107,한마음협의회,2
489,런던상품거래소,2
779,예외,2
814,유입,2
546,방문,2
731,안정,2
943,준비,2
628,상승세,2
652,선제적,2
996,창구,2
861,임직원들,2
863,입국자,2
615,삼성SDI,2
990,차이나모바일,2
867,자사,2
619,삼성전기,2
711,신뢰도,2
893,전달,2
986,집중,2
984,진정,2
980,직원들,2
878,재계,2
796,워킹그룹,2
931,종가,2
973,지원자,2
968,지역,2
964,지속,2
962,지도,2
632,상징,2
879,재단,2
649,선배,2
635,생각,2
957,증설,2
640,서버,2
887,전경련,2
642,서비스플랫폼,2
890,전국적,2
643,서울,2
610,사회적,2
696,스트래티지애널리틱스,2
552,배터리,2
585,비중,2
729,악영향,2
1043,타결,2
1040,퀄컴,2
556,변동,2
558,보급,2
927,제품,2
563,복지,2
564,복지포인트,2
569,봉사,2
659,성인희,2
904,절차,2
1031,캠페인,2
1023,출시,2
1,0.06%,2
850,일본,2
894,전망,2
1022,출국,2
1020,추진,2
1018,추정,2
1016,최종,2
1014,최소,2
1010,총괄,2
658,성명서,2
851,일본인,2
691,순위,2
1001,책임,2
856,임금피크제,2
600,사장,2
602,사정,2
715,신한,2
686,수치,2
584,비전,2
244,CSR,2
108,2016년,2
387,관심,2
38,10점,2
349,경력,2
71,17.67%,2
156,3GPP,2
157,3가지,2
158,3만,2
397,구성,2
228,9.6점,2
115,20~30대,2
282,People,2
226,8만,2
286,SDI,2
340,건의,2
162,3위,2
337,거울,2
112,2019년,2
111,2018년,2
405,근로자,2
166,4.3점,2
406,근무,2
238,Brent,2
126,2X,2
146,3.5점,2
372,공급,2
255,Enabling,2
135,2차,2
256,Exchange,2
260,ICE,2
251,ER,2
53,13.13%,2
52,12월,2
138,3.22%,2
132,2위,2
368,고안,2
273,NH투자증권,2
367,고등학생,2
366,고등학교,2
374,공급업체,2
375,공동,2
248,DJCI,2
127,2배,2
363,고객들,2
360,계좌개설,2
356,경향,2
295,Traded,2
223,8.2점,2
167,4.46%,2
8,0.52%,2
209,650원,2
83,1개월,2
318,감염,2
90,2%,2
437,나무재단,2
203,6.8점,2
183,4만,2
185,4조,2
81,1~2점,2
189,5.75%,2
445,노사,2
447,노조,2
192,54.62,2
3,0.19%,2
193,556원,2
309,가요,2
428,기업인,2
134,2주,2
211,6명,2
413,급락장,2
325,개미들,2
210,68%,2
168,4.4점,2
18,1%포인트,2
107,2015년,1
936,주도적,1
978,직업,1
934,종합반도체,1
933,종목설명삼성,1
128,2분기,1
956,증명서,1
129,2셀트리온,1
100,2.80%,1
98,2.72%,1
966,지수,1
99,2.75%,1
981,진단,1
131,2월말,1
977,직무,1
982,진로,1
983,진입,1
110,2018.,1
109,2017년,1
965,지속적,1
961,지난주,1
928,제한,1
967,지식,1
114,2020회계,1
937,주목,1
117,20메리츠종금증권,1
969,지역사회,1
106,200여,1
970,지연,1
951,증가율,1
950,증가세,1
116,20맥,1
948,중점적,1
105,200명,1
947,중심,1
946,중시,1
972,지원분,1
119,21.83,1
954,증권업,1
120,22일,1
963,지도선배,1
942,주장,1
941,주식시장,1
113,2020년,1
103,20,1
125,29.99%,1
975,지하철,1
102,2.93%,1
938,주문,1
133,2조,1
104,20.30%,1
450,눈코,1
924,제언,1
923,제약,1
858,임시,1
859,임원,1
172,4000명,1
170,4.61%,1
169,4.5%,1
864,입장,1
865,자금,1
866,자동차,1
868,자원,1
869,자원부,1
165,4.31%,1
872,작업,1
873,작용,1
874,작전,1
164,4.06%,1
876,장애,1
163,4,1
174,41.17%,1
175,41조,1
855,임금인상률,1
182,492주,1
196,57세로,1
834,이벤트,1
837,이슈,1
190,50%,1
188,5.63%,1
186,5.16%,1
184,4위,1
846,인텔,1
176,426,1
181,4900억,1
848,일반적,1
849,일반직,1
179,47억,1
178,4592억,1
177,45.6%,1
853,일환,1
160,3삼성,1
880,재도약,1
881,재무,1
913,정보,1
907,접수,1
908,접촉,1
909,정기,1
910,정기봉사,1
145,3.57,1
144,3.54%,1
95,2.40%,1
914,정보기술,1
905,점검,1
142,3.4%,1
141,3.3점,1
917,정식,1
918,정직,1
140,3.37%,1
139,3.25%,1
137,3.1점,1
906,점포들,1
147,3.62%,1
882,재입국,1
154,385원,1
883,재정,1
884,재택근무,1
885,적극,1
889,전국경제인연합회,1
155,39.6%,1
891,전기,1
892,전년,1
153,37,1
902,전형,1
152,345만,1
896,전문가들,1
151,30건,1
898,전세기편,1
150,30.,1
149,3.87%,1
148,3.80%,1
96,2.43%,1
84,1년,1
987,집중적,1
27,1.73,1
31,10.08,1
1105,한국발,1
1106,한국인,1
30,10.07%,1
29,1.78%,1
1109,한항공,1
28,1.75%,1
1111,합숙생활,1
1113,항공사,1
32,10.32%,1
26,1.58%,1
25,1.58,1
1116,해결방법,1
1117,해소,1
24,1.54,1
23,1.52,1
1120,행렬,1
1121,행사,1
1103,한경로보뉴스,1
33,100%,1
988,차관,1
1089,플렉서블,1
42,11.35%,1
1082,풀이,1
41,11.16%,1
40,11.,1
39,11,1
1086,플래,1
1087,플래그십,1
1088,플랫폼,1
1091,피크,1
1100,학교,1
37,10명,1
1093,피해,1
1094,필수적,1
35,10대,1
1096,하루,1
1097,하소연,1
34,100번,1
1099,하이퐁,1
1122,행정적,1
1123,행진,1
1124,허용,1
1157,확인서,1
1148,화상,1
13,0.95,1
12,0.88%,1
1151,화장품,1
1152,화학,1
11,0.85,1
10,0.82,1
9,0.54%,1
7,0.5%,1
1125,현금,1
6,0.48%,1
1160,환헤지,1
5,0.31%,1
1162,활력,1
4,0.28%,1
1165,회장,1
1166,훈풍,1
2,0.09%,1
1147,홍보,1
14,0.99,1
1145,혼합,1
1144,호응,1
1126,현대,1
1127,현대자동차,1
22,1.42%,1
1129,현대차증권,1
1130,현상,1
21,1.19%,1
20,1.19,1
1133,현지,1
1134,현지시간,1
19,1.11,1
17,1%P,1
1138,협상과정,1
1139,협약,1
1140,협약식,1
1141,협의,1
1142,협조,1
16,049,1
1080,푸른색,1
43,11.72%,1
44,11.81%,1
1021,춘제,1
1013,최대주주,1
78,19.28%,1
1015,최소화,1
77,18삼성,1
1017,추가,1
76,18LG,1
75,186명,1
74,18.56%,1
73,17이마트,1
70,17.34%,1
72,17LG유플러스,1
1024,출입국,1
1025,취업,1
1026,치료,1
1027,치료비,1
1028,치명적,1
1029,치유,1
1030,카카오,1
1012,최대,1
1011,총력,1
79,19SH에너지,1
1009,초등학교,1
94,2.19%,1
93,2.09,1
991,차지,1
92,2.08,1
993,차트,1
994,참석,1
91,2.04%,1
997,창의미션,1
998,창의적,1
999,채널,1
88,1주,1
831,이례,1
1002,청년들,1
1004,청소년들,1
1005,체결,1
1007,체험형,1
1008,초과이익성,1
1032,컨센서스,1
1034,코로나,1
1077,폭증,1
1067,편중,1
57,14.31%,1
56,13억,1
1059,파생상품,1
1060,파악,1
55,13NH투자,1
54,13.69%,1
1065,펀드,1
1066,편의점,1
51,12삼성전기,1
69,17.30%,1
50,1270억,1
49,12.12%,1
48,11삼성물산,1
1072,폐지,1
47,11개월,1
46,112,1
45,11.90%,1
1076,폭발적,1
58,14.35%,1
59,14.95%,1
60,14고려아연,1
1053,통제,1
68,17.3%,1
67,16제일기획,1
66,16엔씨소프트,1
1039,쿼리인프라,1
65,165.8%,1
1041,큰손,1
1042,클라우드,1
64,15개국,1
1044,태블릿,1
63,15.67%,1
1046,토론,1
1047,토론면접,1
62,15.14%,1
1049,통계,1
1050,통상,1
61,15.06%,1
1052,통신장비회사,1
832,이례적,1
206,635원,1
830,이동통신표준화기술협력기구,1
369,고정,1
370,공간,1
571,봉사활동,1
572,부분적,1
573,부착,1
574,부품,1
575,북부,1
576,분야,1
577,불안,1
579,브렌트원유,1
544,발명,1
580,비교,1
581,비대면,1
365,고군분투,1
586,비즈니스,1
587,비철금속15삼성증권,1
588,사고,1
589,사람들,1
590,사례,1
371,공개,1
568,볼런티어,1
567,본부,1
566,본격적,1
383,과급,1
547,방문교육,1
548,방송통신위원회,1
549,방식,1
550,방안,1
551,배려,1
380,공유,1
379,공무원,1
377,공매,1
555,베팅,1
376,공동성명서,1
557,별도,1
560,보통,1
561,보편화,1
562,보합,1
373,공급망,1
565,복합기업19현대엘리베이,1
593,사용자,1
595,사원협의회,1
355,경제협력개발기구,1
338,건강,1
622,상담,1
623,상대국발,1
624,상대적,1
625,상반기,1
626,상쇄,1
332,개인투자자,1
331,개인연금,1
330,개인들,1
328,개월,1
326,개별협상,1
323,개국,1
634,새돈,1
322,강화,1
321,강조,1
637,생산기지,1
638,생활,1
639,서로,1
333,개인투자자들,1
617,삼성그룹,1
354,경제상황,1
616,삼성SDS,1
598,사이버환경,1
599,사이트,1
352,경쟁,1
601,사재기,1
351,경영,1
350,경력직,1
605,사투,1
606,사항,1
348,경량화,1
608,사회공헌,1
347,경기도,1
346,결합,1
611,산업,1
612,산제,1
613,살포,1
345,결제서비스,1
341,검사,1
545,발씩,1
385,관광,1
829,이동통신표준화,1
485,둔화,1
476,덕목,1
477,도움,1
478,도착,1
479,도코모,1
480,도현우,1
432,기지,1
482,동일,1
425,기술협력기구,1
424,기숙사,1
386,관리,1
487,뚜껑,1
488,러드,1
421,기기,1
420,기관투자가,1
419,기관들,1
492,롯데케미칼,1
414,급변,1
494,리드,1
434,기획,1
474,대학생,1
435,나머지,1
472,대표적,1
449,눈독,1
453,다수,1
454,다음달,1
455,다이오드,1
456,단기취업,1
443,낸드,1
442,내달,1
461,달만,1
462,대기,1
463,대기업들,1
464,대기표,1
465,대동단결,1
466,대두,1
441,낮아,1
440,남북경협,1
438,난임,1
470,대졸,1
411,금융상품,1
497,마지막,1
498,막바지,1
521,무리,1
393,교란,1
525,문의,1
526,물량,1
527,미국,1
392,광저우시,1
529,미래에셋,1
530,바이러스,1
531,바이오시밀러,1
532,박백범,1
390,광물자원개발,1
389,광고,1
535,반도체산업협회,1
536,반도체업계,1
537,반등,1
388,관심사,1
539,반응,1
541,발광,1
523,무작정,1
520,모집,1
499,만료,1
519,모바일게임,1
408,금강산,1
502,매도,1
503,매도세,1
404,극복,1
403,그룹활동,1
507,매수세,1
508,매수행렬,1
401,그동안,1
510,멀티카메라,1
400,국제기구,1
512,메흐로트라,1
513,멘토링,1
514,멤버십,1
515,면접,1
516,모금회,1
517,모델,1
399,국가,1
320,강세,1
641,서비스,1
316,감소,1
227,9.36%,1
762,연구원,1
763,연도,1
231,9롯데케미칼,1
230,955원,1
766,연비개선,1
767,연일,1
229,936,1
770,영국,1
772,영업이익,1
644,서초구,1
773,영입,1
225,893,1
224,830원,1
778,예상,1
222,8.19%,1
221,8.06%,1
781,예종석,1
782,예측,1
232,9월,1
760,연간,1
233,9일,1
758,역대,1
245,Commodity,1
741,양성,1
742,양호,1
743,얘기,1
243,CME,1
745,업데이트,1
242,CEO,1
747,업무협약,1
748,업종,1
240,C-,1
750,업황,1
239,Brent원유,1
237,B20,1
754,에프앤가이드,1
236,A사,1
235,AㆍBㆍC,1
757,여파,1
783,예탁금,1
220,8,1
785,온라인교육,1
451,뉴머니,1
811,유동성,1
812,유리,1
813,유의미,1
204,6000억,1
816,음성,1
817,읍소,1
818,의견,1
819,의사,1
202,6.62%,1
821,의사표현,1
822,의식,1
823,의장,1
201,6.38%,1
200,6.27%,1
199,5세대,1
198,5년,1
828,이동통신,1
810,유기,1
808,위험,1
219,7조,1
807,위치,1
787,외교부,1
218,770원,1
217,75.7%,1
790,요즘,1
791,용서,1
216,712,1
215,7.94%,1
794,우스갯소리,1
214,7.53%,1
213,7,1
797,원스톱,1
800,원유선물인버스,1
801,원활,1
802,월급,1
208,645,1
805,위안,1
207,63개,1
738,약속,1
736,애로,1
735,애널리틱스,1
665,세대,1
667,세트,1
668,섹터1삼성전자,1
301,WTO,1
670,소개,1
671,소비자가전,1
672,소속,1
673,소수,1
674,소유,1
675,소재,1
676,소통,1
677,손실,1
678,솔루션,1
679,수도,1
300,WTI원유선물인버스,1
681,수소문,1
683,수율,1
291,TIGER,1
666,세부조건,1
664,세계적,1
290,SK하이닉스등,1
663,세계보건기구,1
314,가치,1
646,선물인버스,1
313,가족협의회,1
648,선방,1
312,가족,1
650,선언,1
651,선정,1
310,가입,1
653,선택,1
655,설립,1
306,가늠자,1
657,설치,1
305,가늠,1
304,가구,1
302,ZTE,1
661,세계경제단체연합,1
662,세계무역기구,1
685,수준,1
288,SK증권,1
734,앞장,1
271,NGO,1
713,신입사원,1
268,LG이노텍,1
263,Jone,1
716,실감,1
717,실기평가,1
718,실망,1
257,Fund,1
722,실질적,1
723,실천,1
253,ETF명,1
726,쏠림,1
727,아시아나항공,1
728,아이디어,1
730,안전사고,1
250,D램,1
249,Dow,1
733,압도,1
269,LG전자,1
272,NH,1
688,순간,1
708,신고,1
689,순매,1
692,순위종목명금액주가,1
693,순위종목명수량주,1
281,PS,1
695,스트래티지,1
280,PC,1
278,OPI,1
276,OECD,1
699,시리즈,1
