,키워드,빈도
4,04월,5
34,극장,4
44,대신증권,3
61,유지,3
28,CJ씨푸드,3
13,1우,3
24,BUY,3
1,0.76%,2
36,기관,2
50,발동,2
51,사태,2
30,VI,2
52,상승,2
27,CJ,2
26,CGV,2
58,외국인,2
56,애널리스트,2
62,의견,2
70,코로,2
60,위축,1
68,증가,1
45,동향,1
46,로봇,1
47,매매내역,1
73,하락,1
72,특별,1
48,매수,1
71,투자,1
49,목표주,1
69,증권플러스,1
67,주가,1
59,위상,1
66,제시,1
65,전일,1
64,작성,1
53,수요,1
63,자체,1
54,스크린,1
55,실시간,1
43,대비,1
57,엔터테인먼트,1
0,0.47%,1
37,기사,1
42,단위,1
41,넷플릭스,1
2,0.77%,1
3,000원,1
5,09일,1
6,1.40%,1
7,1.50%,1
8,100원,1
9,10일,1
10,13일,1
11,14일,1
12,16일,1
14,1주일,1
15,2,1
16,2.14%,1
17,32,1
18,33,1
19,365주,1
20,3시간,1
21,4.05%,1
22,5%,1
23,8천,1
25,C-Biz봇,1
29,OTT,1
31,가성비,1
32,감안,1
33,거래,1
35,기간,1
38,김회재,1
39,나무,1
40,날짜주가등락률,1
74,한경로보뉴스,1
