,키워드,빈도
105,면세점,16
97,마스크,12
231,중국,11
100,매장,7
193,운영,6
263,판매,6
257,테마,5
265,편집,5
130,사업,5
138,상품,5
208,일본,4
158,시내,4
275,현대백화점,4
179,여행,4
140,서울,3
183,영향,3
44,경기,3
180,여행사,3
55,관광객,3
128,사드,3
188,외국인,3
83,단체,3
217,전문,3
205,인천공항,3
59,구매,3
101,매출,3
166,신세계백화점,3
282,획득,3
18,4.00%,3
12,2019.05,3
19,4.31%,3
164,신세계,3
11,2019.04,2
119,보따리상,2
264,패션,2
189,요인,2
122,본점,2
233,증가,2
232,중국인,2
228,주가,2
117,백화점,2
74,기록,2
54,관광,2
224,조치,2
278,호텔신라,2
84,달러,2
86,대비,2
7,1개,2
216,재개,2
201,이슈,2
156,수준,2
102,면세,2
16,34.6%,2
80,내국인,2
256,타입,2
45,경쟁,2
36,강남점,2
268,한국,2
141,선정,2
39,갤러리아면세점,2
170,심화,2
253,코로,2
143,설명,2
32,THAAD,2
270,한국행,2
261,특허,2
247,최대,2
202,이외,1
174,아이파크몰,1
197,유보,1
200,의존,1
203,인접국,1
163,신라면세점,1
175,업계,1
204,인천,1
199,육성,1
162,신규,1
173,아시아,1
171,싱가포르,1
198,유통업,1
168,실시간,1
196,위생용품,1
177,업체,1
167,신종,1
184,영향도,1
181,영업,1
185,예정,1
186,오봉절,1
187,오픈,1
178,여부,1
169,심사,1
195,위생,1
165,신세계디에프,1
190,용산,1
191,용품,1
176,업데이트,1
192,우선,1
182,영업손실,1
194,운영중,1
172,씨트립,1
0,0%일본,1
206,인천국제공항공사,1
262,특허사업,1
245,체제,1
246,초기,1
248,최종,1
249,추석,1
250,춘제,1
251,출국,1
252,출국장,1
254,코로나19,1
255,크루즈,1
258,투자,1
259,특수,1
260,특수성,1
266,피혁,1
243,철회,1
267,하락,1
269,한국면세점협회,1
271,한도,1
272,한화갤러리아타임월드,1
273,합작,1
274,해외여행,1
276,협상,1
277,형태,1
279,홍콩,1
280,확산,1
281,환경,1
283,후보자들,1
244,체계,1
242,창이공항,1
207,인프라,1
222,제품들,1
209,일정,1
210,입찰,1
211,자국,1
212,자본,1
213,자체,1
214,작성,1
215,장기간,1
218,전역,1
219,전일,1
220,정부,1
160,시장,1
221,제품,1
223,제휴,1
241,차트,1
225,종료,1
226,종목,1
227,종목설명신세계,1
229,주변국,1
230,준비,1
234,증권플러스,1
235,지역,1
236,지정,1
237,진입,1
238,진입장벽,1
239,차려,1
240,차지,1
161,시즌,1
142,설립,1
159,시내면세점,1
60,구매한도,1
42,결정날,1
43,결합,1
46,계열사,1
47,계절,1
48,고객,1
49,고객들,1
50,고도미사일방어체계,1
51,골든위크,1
52,공항,1
53,관계자,1
56,관광업,1
57,관세청,1
58,광주,1
61,구역,1
157,스프레이,1
62,구조,1
63,국가,1
64,국경절,1
65,국민,1
66,국제,1
67,국제공항,1
68,국제정세,1
69,규제,1
70,금지령,1
71,급감,1
72,급증,1
73,긍정,1
75,기사,1
41,결정,1
40,검토,1
38,개점,1
37,강세,1
2,00달러,1
3,1.30%,1
4,10.,1
5,1000억,1
6,18조,1
8,2.45%,1
9,2018년,1
10,2019.,1
13,2020년,1
14,27일,1
15,30%현대산업개발,1
17,3년,1
20,44억,1
21,5개,1
22,5년,1
23,96.3%,1
24,9월,1
25,C-Biz봇,1
26,C-trip,1
27,DF7,1
28,HDC,1
29,JTC,1
30,KF80,1
31,KF94,1
33,가능,1
34,각종,1
35,감염증,1
76,기업화,1
77,기획재정부,1
78,김포공항,1
120,보복,1
123,부과,1
124,부담,1
125,부정,1
126,브랜드,1
127,비중,1
129,사상,1
131,사업자,1
132,사이트,1
133,사태,1
134,사후,1
135,사후면세점,1
136,상승,1
137,상승세,1
139,상향조정,1
1,0.2,1
144,설치,1
145,성장,1
146,성장세,1
147,세금,1
148,세정,1
149,세정제,1
150,센트럴시티에,1
151,소득,1
152,소비,1
153,소비자,1
154,손세정제,1
155,수익,1
121,보세창고,1
118,보건,1
79,나무,1
116,방역용,1
81,노동절,1
82,단수,1
85,대량,1
87,대상자,1
88,대외,1
89,동향,1
90,등락,1
91,등록,1
92,따이공,1
93,따이궁,1
94,로봇,1
95,리셀러,1
96,리스크,1
98,마지막,1
99,매입,1
103,면세산업,1
104,면세상품,1
106,명동,1
107,물가수준,1
108,물량,1
109,물류시설,1
110,미사일,1
111,밀접,1
112,바이러스,1
113,발급,1
114,방안,1
115,방어,1
284,휴가철,1
