,키워드,빈도
506,삼성전자,57
495,삼성,51
580,시장,37
596,안전,23
575,스마트폰,23
909,파운드리,20
165,BBK,18
710,임직원,17
794,중국,17
680,이사,16
543,세계,16
640,오포,15
756,점유,14
410,미국,14
417,반도체,13
883,코로나19,13
465,비보,13
881,케이스,13
979,환경,13
922,포럼,13
438,변호사,12
388,리얼미,12
518,생산,12
971,화웨이,11
463,브랜드,11
563,수사,11
651,원플러스,10
959,협력사,10
989,회사,10
61,1위,9
629,연기,9
272,공정,9
992,후보,9
484,사외,9
256,계열사,8
690,인도,8
949,행사,8
8,1,8
482,사업장,7
455,부회장,7
269,공매도,7
230,개최,7
778,종목,7
565,수주,7
657,위탁,7
605,애플,7
639,예정,7
735,재택근무,6
937,한국,6
724,작성,6
924,포함,6
513,상위,6
321,기준,6
813,지적,6
485,사외이사,6
835,차장,6
255,계열,5
976,확산,5
757,점유율,5
595,안건,5
174,EUV,5
335,논란,5
767,제작,5
579,시작,5
311,금액,5
288,구성,5
790,준법,5
278,관리,5
745,전략,5
982,활동,5
566,수준,5
243,격려,5
362,대표,5
672,의원,5
529,선임,5
702,일본,5
501,삼성바이오로직스,5
509,삼성화재,5
686,이재용,5
704,일정,5
521,샤오미,5
406,물량,5
722,자체,5
385,라인,5
953,현대차,5
453,부품,4
228,개선,4
242,검찰,4
245,결과,4
613,업사이클링,4
364,대표주,4
205,가격,4
221,감시위,4
214,가치,4
836,차지,4
838,참여,4
500,삼성바이오,4
611,업계,4
664,유출,4
246,결정,4
257,계획,4
250,경영,4
643,외국인,4
346,당선,4
736,재판,4
678,이름,4
320,기업,4
561,수량,4
316,기록,4
313,급성장,4
772,조사,4
442,보고,4
291,구축,4
889,크바드라트,4
425,방지,4
276,관계자,4
706,임산부,4
737,재활용,4
618,에디션,4
886,코스피,4
0,,4
113,3위,4
960,협업,4
920,폐플라스틱,4
88,2위,4
985,회계,4
231,갤럭시,3
768,제조,3
899,투자,3
626,연간,3
910,판매,3
807,지난달,3
806,지난,3
182,LG전자,3
227,강화,3
770,제품,3
919,평균,3
853,총회,3
479,사업,3
675,의혹,3
474,사기,3
310,글로벌,3
507,삼성전자우,3
576,스트랩,3
677,이달,3
668,의견서,3
489,사태,3
637,영향,3
932,플러스,3
663,유지,3
347,대검,3
234,거래소,3
235,건강,3
538,섬유,3
108,37%,3
749,전용,3
665,윤석열,3
536,설비,3
356,대비,3
357,대상,3
787,주주,3
812,지원,3
504,삼성에스디에스,3
241,검사,3
656,위원회,3
222,감염증,3
284,교육,3
620,여부,3
615,업체,3
797,중저,3
578,시간,3
683,이산화탄소,3
464,비메모리,3
612,업무,3
293,국가,3
515,상황,3
118,450%,3
943,합류,3
885,코로나바이러스,3
49,18%,3
918,평가,3
791,준법감시위,3
945,합산,3
90,3,3
946,해외,3
789,주총,3
600,안전문,3
993,훈련,3
283,교수,3
585,신종,3
659,유럽,3
721,자원,3
720,자리,3
868,출하량,3
409,물품,3
718,자동차,3
412,미래,3
266,골즈,3
300,규모,3
769,제출,2
655,위원,2
968,화성,2
327,나무,2
305,극자외선,2
331,내부,2
658,위험,2
330,남짓,2
508,삼성중공업,2
777,종가,2
326,나노미터,2
314,기간,2
299,권고,2
315,기구,2
784,주가,2
89,2차,2
654,위반,2
652,웹페이지,2
781,종합,2
921,폐플라스틱병,2
317,기밀,2
318,기부,2
298,국회의원,2
319,기사,2
923,포인트,2
773,조선,2
358,대응,2
762,제공,2
715,자가,2
394,면세점,2
395,면역력,2
66,2.78%,2
471,빅3,2
403,문진,2
404,문진표,2
405,물건,2
682,이사회,2
717,자가문진표,2
413,미세,2
414,바이오시밀러,2
716,자가격리,2
62,1인,2
69,2016년,2
709,임재우,2
59,1개,2
426,배경,2
427,배출,2
428,배터리,2
707,임원,2
459,분야,2
433,법원,2
458,분사,2
688,이해관계,2
443,보수,2
444,보유,2
386,로봇,2
733,재직,2
661,유엔개발계획,2
747,전문,2
496,삼성SDI,2
339,다수,2
341,단위,2
342,달러,2
929,프리미엄,2
754,절약,2
753,전직,2
752,전지,2
751,전자,2
353,대만,2
355,대법관,2
359,대책,2
361,대통령,2
383,디스플레이,2
895,통제,2
743,전년,2
369,덴마크,2
740,전격,2
39,15일,2
738,적극,2
374,독립,2
375,독립성,2
40,16%,2
378,동참,2
380,두산인프라코어,2
382,등락률,2
786,주장,2
121,49,2
650,원칙,2
898,퇴임,2
569,순매도,2
567,수행,2
983,활용,2
981,환경안전문화,2
842,청구,2
190,SDI,2
559,송경화,2
194,SK하이닉스,2
196,TSMC,2
197,UNDP,2
112,3월,2
556,소화,2
627,연관,2
553,소비,2
552,소방,2
900,투자자,2
206,가공,2
829,질병통제예방센터,2
828,질병,2
209,가동,2
20,12.55%,2
826,진행,2
212,가족,2
550,셀트리온,2
549,센터,2
570,순위,2
573,순차적,2
631,연세대,2
168,CDC,2
123,5.41%,2
606,액세서리,2
598,안전교육,2
607,액티브,2
120,48,2
132,562원,2
138,5월,2
139,6.61%,2
589,실시간,2
987,회계사기,2
877,캘리포니아,2
874,카운터포인트,2
872,친디아,2
152,790,2
582,시행,2
581,시장조사업체,2
156,8%,2
10,1.64%,2
864,출시,2
863,출근,2
161,8천만,2
162,950원,2
862,추천,2
116,4.94%,2
167,C-Biz봇,2
215,가트너,2
557,소환,2
447,봉욱,2
798,중저가,2
534,설명,2
533,설립,2
795,중시,2
974,화학,2
796,중앙지검장,2
914,팹리스,2
249,경실련,2
267,공략,2
638,예방,2
265,고전,2
804,증권플러스,2
800,증가,2
526,서울중앙지검,2
647,운동,2
258,고가,2
259,고객사,2
905,특수,2
915,페트병,2
524,서울,2
223,감형,2
233,갤럭시워치,2
649,원유,2
91,3.56%,2
540,성장,2
226,강조,2
279,관여,2
917,편지,2
902,트럼프,2
617,에너지,1
950,행위,1
948,핵심,1
970,화웨,1
986,회계법인,1
966,홈페이지,1
689,인간,1
681,이사직,1
955,현지,1
691,인도나,1
692,인도시장,1
616,업체들,1
991,효율성,1
951,혁신,1
988,회로,1
648,울산,1
608,양가,1
609,얘기,1
610,언급,1
687,이통통신,1
646,용량,1
967,홍삼,1
969,화성사업장,1
685,이원,1
653,위기상황,1
684,이외,1
952,현대상선,1
954,현장,1
990,회원,1
614,업종,1
662,유재만,1
679,이번주,1
636,영장,1
625,역할,1
669,의뢰,1
693,인류,1
