,키워드,빈도
11,CJ대한통운,5
75,회사채,4
34,발행,4
54,유지,2
71,투자,2
21,기사,2
49,업계,1
55,은행,1
53,원어치,1
52,오랫동안,1
51,영업이익,1
50,업체,1
48,양호,1
47,실적,1
46,신종,1
45,신용등급,1
44,신용,1
43,시장지위,1
42,성장세,1
56,자본시장,1
58,재원,1
57,재무구조,1
40,상환,1
74,회사,1
73,확산,1
72,혜안,1
70,코로나바이러스,1
69,코로나19,1
68,충격,1
67,채권,1
66,차입금,1
65,증가,1
64,준비,1
63,주관사,1
62,조달,1
61,전망,1
60,전년,1
59,적격,1
41,선정,1
0,01월,1
39,사이트,1
1,13.9%,1
17,공모,1
16,계획,1
15,게재,1
14,감염증,1
13,NH투자증권,1
12,IB,1
10,CJ,1
9,AA-,1
8,9월,1
7,7조,1
6,4.6%,1
5,2345억,1
4,2000억,1
3,154%,1
2,14:24,1
18,관심,1
19,규모,1
20,기관투자가,1
30,물류,1
37,분기,1
36,부채,1
35,본격적,1
33,반영,1
32,물류업체,1
31,물류업,1
29,매출,1
22,기준,1
28,마켓,1
27,등급,1
26,동기,1
25,돌입,1
24,대한통운,1
23,대비,1
38,비율,1
