,키워드,빈도
37,세미나,5
39,스타트업,4
2,SSG닷컴,4
64,초청,4
36,성과,3
16,닷컴,3
1,SSG,3
7,공유,2
72,혁신,2
32,부사장,2
25,마켓,2
23,마스터,2
3,강연,2
19,대상,2
41,신뢰,2
17,당근,2
18,당근마켓,2
15,노하우,2
29,방식,2
66,클래스,2
42,신세계,2
48,인사,1
50,임직원,1
51,자세,1
52,자유,1
53,자율,1
49,인프라,1
54,장유성,1
55,장점,1
60,중고,1
56,전제,1
57,정보기술,1
58,조직,1
59,주제,1
46,이날,1
61,직원,1
62,직원들,1
63,진행,1
65,충돌,1
67,통합몰,1
68,특유,1
69,플랫폼,1
70,플랫폼기업,1
71,피드백,1
47,이해,1
0,17일,1
45,온라인,1
44,업체,1
4,강조,1
5,거래,1
6,경영진,1
8,관계사,1
9,관심,1
10,구성원,1
11,구성원들,1
12,극대화,1
13,기업,1
14,기회,1
20,데이터,1
21,리더,1
22,링크,1
24,마인드,1
26,박세헌,1
27,발판,1
28,방법,1
30,보장,1
31,본부장,1
33,비즈니스,1
34,사전,1
35,상대,1
38,소개,1
40,시작,1
43,신세계그룹,1
73,혁신적,1
