,키워드,빈도
846,삼성전자,166
466,공장,108
296,EUV,65
871,생산,63
467,공정,60
835,삼성,55
367,가동,51
1267,적용,45
1053,양산,43
1113,올림픽,42
350,TV,42
1334,제품,39
1382,중단,38
669,마스크,36
726,반도체,36
518,글로벌,36
1004,시장,35
291,D램,33
1435,채용,33
1492,코로나19,32
976,스마트폰,31
543,기업,29
442,계획,28
1156,유럽,26
1431,차세대,26
1194,인도,25
690,메모리,25
750,배터리,25
708,미국,25
1062,업계,25
1119,외국인,23
532,기간,22
917,세계,21
1065,업체,20
517,극자외선,20
566,내년,20
1208,일본,19
557,나노,19
783,부회장,19
1613,헝가리,17
621,도쿄,17
398,갤럭시,16
965,수준,16
1651,확산,16
8,03월,16
1172,이날,15
952,수요,15
533,기관,15
1146,웨이퍼,15
1649,확대,15
1471,출시,15
1552,폐쇄,14
313,LG전자,14
1363,주가,14
454,공급,14
1329,제조,14
469,공채,14
120,25일,14
960,수주,14
209,5G,14
308,LG,14
913,성능,14
162,3주,14
985,슬로바키아,14
1662,회로,14
697,모델,13
1376,준비,13
574,노이다,13
1106,예정,13
857,상반기,13
117,23일,13
650,라인,13
866,상황,13
1541,판매,13
509,규모,13
1248,장비,13
606,대비,13
904,선행,13
1077,여파,13
1341,조선사,12
1381,중국,12
717,미시간주,12
875,생산량,12
1659,활용,11
1611,향상,11
1090,연기,11
1490,코로,11
444,고객,11
438,계약,11
713,미세,11
828,사태,11
382,감염증,11
1130,운영,11
85,1x,11
82,1a,11
1443,체제,11
1433,차질,11
681,매수,11
622,도쿄올림픽,11
817,사업,10
118,24일,10
285,DDR4,10
877,생산성,10
362,nm,10
573,노광,10
1629,현지,10
908,설명,10
955,수율,10
475,관계자,10
1357,종목,10
858,상승,10
1313,정부,10
1279,전망,10
836,삼성SDI,10
710,미래,10
1280,전면,9
1456,최대,9
1320,제공,9
1276,전략,9
295,ETN,9
592,달러,9
1410,지원,9
1173,이달,9
1272,전기차,9
672,마케팅,9
1014,신종,9
1430,차별화,9
1547,패터닝,9
451,공개,9
1549,평가,9
445,고객사,9
1601,해외,9
1616,혁신,9
1587,한국,9
488,구매,9
365,가능,9
940,솔루션,9
464,공식,8
1003,시작,8
1009,신규,8
1675,후원사,8
1201,인치,8
1650,확보,8
1226,자동차,8
1560,폴란드,8
818,사업부,8
1674,후원,8
1493,코로나바이러스,8
1104,예상,8
541,기아차,7
698,모듈,7
460,공매도,7
647,디스플레이,7
1287,전일,7
863,상위,7
521,금액,7
354,VLCC,7
1286,전용,7
795,브라질,7
364,가격,7
775,부사장,7
769,보안,7
1182,이정배,7
590,단축,7
720,바이러스,7
819,사업장,7
1112,온라인,7
303,KODEX,7
1236,자체,7
389,개발실,7
643,디램,7
286,DDR5,7
410,건강,7
832,산업,7
366,가능성,7
1181,이재용,7
159,3억,7
1665,회사,7
125,29일,7
1524,투자,7
1452,총리,7
129,2배,7
1281,전문가,6
22,100만,6
80,19일,6
1388,중저,6
969,순매도,6
1153,유가,6
1565,품질,6
1241,작업,6
545,기여,6
1484,카메라,6
1179,이용,6
916,성장,6
1350,조치,6
1582,하루,6
887,서비스,6
28,10억,6
301,IOC,6
135,3,6
525,금형,6
145,30일,6
529,급락,6
1307,정도,6
1268,전국,6
689,멀티,6
658,로봇,6
546,기준,6
1039,안전,6
699,모디,6
558,나노급,6
682,매장,6
1010,신입,6
92,1세대,6
1511,테마주,6
1624,현대차,6
1415,지침,6
534,기록,5
1467,축소,5
561,나무,5
1605,핵심,5
141,30%,5
1228,자리,5
1240,작성,5
839,삼성디,5
537,기사,5
842,삼성물산,5
279,C-Biz봇,5
849,삼성종합기술원,5
1617,혁신적,5
1534,파견,5
315,LPDDR5,5
893,선도전기,5
1063,업무,5
1425,진행,5
1086,연구소장,5
405,거래,5
1019,실적,5
1538,파트너,5
1018,실시간,5
1111,오프라인,5
1542,판매량,5
984,스플레이,5
458,공략,5
981,스포츠,5
463,공시,5
1144,원판,5
1554,폐지,5
1145,월드와이드,5
342,SDI,5
924,셀트리온,5
1174,이동,5
572,네트워크,5
915,성원,5
1494,코스피,5
1581,하락,5
493,구축,5
1532,특수,5
773,봉쇄령,5
688,먼지,5
1400,지난달,5
1318,정확도,5
782,부품,5
1396,증권플러스,5
706,물량,5
700,모바일,5
584,다음달,5
1642,화소,5
1676,후원액,5
1325,제외,5
1646,화진산업,5
766,보답,5
161,3일,5
604,대량,5
182,4조,5
1418,직원,5
729,반복,5
675,만큼,5
1391,증가,5
1354,종기원,5
210,5만,4
743,방지,4
1160,유지,4
947,수량,4
932,소재,4
1166,의견,4
343,SK,4
211,5세대,4
934,소프트웨어,4
733,발생,4
757,법인,4
764,보급,4
612,대졸,4
611,대응,4
500,국민,4
327,OLED,4
25,10나노,4
1151,위치,4
827,사진,4
633,동향,4
1392,증권,4
1066,에너지,4
1082,연간,4
423,경기,4
407,거래소,4
429,경영,4
432,경쟁,4
1094,연장,4
394,개인,4
110,20일,4
1406,지속적,4
387,강화,4
1519,통신,4
1114,올스톱,4
1545,패널,4
380,감소,4
93,1억,4
1136,원대,4
772,봉쇄,4
1551,평택,4
1550,평균,4
860,상승폭,4
268,AI,4
1586,한계,4
788,분야,4
807,비중,4
1347,조지아,4
1275,전달,4
796,브랜드,4
1327,제작,4
1600,해양플랜트,4
1337,조립,4
304,KT,4
540,기아자동차,4
865,상태,4
870,생각,4
1491,코로나,4
1451,초반대,4
780,부진,4
288,DS,4
314,LG화학,4
1368,주력,4
283,COVID-,4
27,10만,4
1285,전역,4
1627,현장,4
1343,조선업,4
264,A31,4
1442,체결,4
805,비율,3
96,1주일,3
553,긴급,3
1666,회선,3
588,단일,3
1618,현대,3
1540,판단,3
587,단위,3
707,므와바,3
560,나렌드라,3
548,기지,3
903,선폭,3
1638,홍보,3
1537,파장,3
830,사회,3
103,200,3
824,사장,3
679,매매내역,3
568,내수,3
1056,양자,3
1536,파운드리,3
1636,홀랜드,3
1051,앨라배마,3
428,경력직,3
563,날짜주가등락률,3
1047,애플,3
837,삼성SDS,3
1042,알고리즘,3
685,매출액,3
547,기증,3
1661,황성우,3
1664,회복,3
954,수원,3
479,관심,3
943,쇼핑,3
938,손실,3
861,상용,3
623,독점,3
576,논의,3
1585,한경로보뉴스,3
1575,피해,3
496,구호협회,3
497,국가,3
880,생태,3
1578,필터,3
513,그림,3
911,성공,3
502,국외,3
1568,프리미엄,3
1648,화학,3
91,1미터,3
473,과도,3
452,공고,3
544,기업들,3
998,시리즈,3
89,1년,3
992,시각,3
907,설립,3
18,10%,3
83,1m,3
730,반영,3
1647,화질,3
1073,엔진,3
535,기부,3
1558,포함,3
76,18일,3
744,방침,3
618,도요타,3
1429,차례,3
289,Data,3
311,LG생활건강,3
272,ArF,3
1269,전국재,3
1265,저점,3
1481,침체,3
287,DRAM,3
1485,카카오,3
1486,캐나다,3
1488,컴퓨팅,3
1218,임직원들,3
1217,임직원,3
1205,인프라,3
266,A71,3
318,LTE,3
319,MCC,3
320,MLP,3
133,2주,3
1197,인원,3
332,PDP납품,3
333,PROJECT,3
338,Rate,3
1164,은행,3
346,SK이노베이션,3
271,Alerian,3
1463,최적화,3
357,X2,3
1437,채택,3
179,4만,3
1417,직무,3
190,5.6%,3
1408,지역,3
1403,지분,3
198,50만,3
1395,증권업계,3
1389,중저가,3
172,46.9,3
1383,중소,3
1372,주재원,3
1459,최신,3
1370,주식,3
1369,주민들,3
1359,종사자,3
228,6월,3
1446,초격차,3
1339,조사,3
1311,정보,3
1299,점검,3
1291,전지,3
1288,전자,3
1159,유조선,3
0,,3
121,27일,3
1140,원유,3
1525,투자자,3
1085,연구소,3
1100,영향,3
1116,완성,3
1505,타격,3
124,28만,3
1529,특별,3
1508,택시,3
1110,오번힐스,3
1092,연속,3
1088,연구원,3
391,개시,3
1132,운임,3
1079,역사,3
402,갤럭시M,3
414,검증,3
113,21일,3
1353,종가,2
1352,존재,2
785,북부,2
1559,폭등,2
1040,안정적,2
779,부직포,2
1439,책정,2
1345,조선주,2
1045,애널리스트,2
1093,연쇄적,2
1048,애플리케이션,2
1377,줄도산,2
1378,중가,2
1366,주도,2
1037,안드로이드,2
789,불가능,2
1308,정만기,2
1289,전자업,2
1031,아산,2
823,사원,2
1295,전환,2
1036,악화,2
1301,점유율,2
816,사양,2
811,사람,2
1306,정기,2
806,비자카드,2
791,불화,2
1314,정상,2
1321,제기,2
1644,화장품,2
804,비용,2
1332,제조사,2
1380,중계,2
1097,연합회,2
794,붕괴,2
792,불화아르곤,2
765,보급형,2
1652,확산세,2
760,변수,2
1669,효과,2
1401,지난주,2
1404,지불,2
1405,지속,2
1531,특별판,2
705,물동량,2
1667,회장,2
701,모바일게임,2
1084,연관,2
1409,지연,2
1671,효율화,2
758,베젤,2
695,명령,2
1432,차지,2
1411,지원서,2
1412,지원자,2
1414,지정,2
687,머리카락,2
1419,직원들,2
1680,흐름,2
1424,진출,2
1055,양상,2
1658,환불,2
714,미세먼지,2
1657,환경,2
1436,채용절벽,2
1434,채비,2
1633,협력,2
1653,확인,2
1384,중소기업중앙회,2
748,배석,2
1385,중소벤처기업부,2
741,방안,2
740,방식,2
738,방문,2
735,발주,2
734,발전,2
1386,중순,2
1394,증권업,2
1087,연구실,2
728,반도체연구소장,2
1654,확정,2
725,박차,2
1398,증시,2
1523,투입,2
1630,현지시각,2
1632,현황,2
895,선박,2
1495,코스피지수,2
1184,이탈리아,2
1185,이통업,2
1186,이통통신,2
1187,이틀,2
1191,인공지능,2
1579,하네스,2
1196,인력,2
980,스펙,2
1507,탑재,2
1592,한영수,2
891,석유,2
886,서버,2
1204,인텔,2
882,생활,2
1139,원어치,2
1584,하이투자증권,2
1206,인피니티,2
1137,원서,2
876,생산법인,2
1502,크기,2
1496,코어,2
1177,이번주,2
922,센터,2
959,수정,2
1155,유동,2
957,수입,2
1501,쿼드,2
1566,프로그램,2
1147,위기,2
1498,코텍스,2
1161,유통,2
1162,유통업체,2
1557,포스코그룹,2
941,송채경화,2
1570,플래그십,2
936,속도,2
1167,의미,2
1497,코카콜라,2
1571,플랜트,2
930,소비,2
929,소모,2
970,순위,2
1590,한국조선해양,2
874,생산라인,2
1457,최소,2
838,삼성그룹,2
1249,장성군,2
851,삼성중공업,2
1251,장점,2
848,삼성종기원,2
1256,재개,2
843,삼성바이오로직스,2
1469,출고,2
1619,현대모비스,2
1273,전남,2
1115,와이어링,2
873,생산기지,2
1514,텔레콤,2
1465,추천,2
1278,전력,2
1622,현대자동차,2
1464,추진,2
834,산업발전포럼,2
1154,유기발광다이오드,2
1109,오메가,2
1631,현지시간,2
1472,출시국,2
1473,출시일,2
1512,테스트,2
1121,외신,2
1594,항공사,2
1211,일정,2
1489,코딩,2
1595,항공사들,2
1134,울상,2
1133,운항,2
1599,해양,2
1223,자가격리,2
1224,자극,2
1225,자금,2
1127,우수,2
1124,용량,2
1244,잠정,2
1609,행정,2
1610,행정명령,2
1247,장기화,2
1612,허브,2
852,삼성증권,2
1078,역대급,2
1067,에디션,2
841,삼성모바일프레스,2
1681,흥행,2
204,53t,2
384,강세,2
381,감염,2
441,계열사,2
607,대상,2
379,간담회,2
60,14분,2
610,대우조선해양,2
508,규격,2
507,권한,2
446,고객사들,2
376,각국,2
274,A사,2
617,데이터,2
374,가족,2
372,가전,2
277,BUY,2
370,가량,2
506,굵기,2
368,가동률,2
216,6.49%,2
150,37.16,2
626,돌파,2
213,5월,2
501,국방,2
630,동원,2
205,55.24%,2
632,동유럽,2
603,대대적,2
385,강조,2
386,강호규,2
435,계기,2
241,7만,2
556,김은형,2
551,기회,2
105,2016년,2
424,경기도,2
418,결과,2
571,네이버,2
246,800만,2
431,경영진,2
249,837.7,2
88,1나노,2
434,경제,2
471,과거,2
601,대국민연설,2
527,급감,2
403,갤럭시S20,2
400,갤럭시A31,2
399,갤럭시A,2
591,단행,2
74,18nm,2
520,금강산,2
593,달성,2
225,6개,2
599,대구광역시,2
259,90%,2
140,3.93%,2
353,V2,2
554,김기남,2
166,40억,2
651,라인업,2
34,11.82%,2
294,EMM,2
186,5,2
322,NAVER,2
20,10.47%,2
456,공급업체,2
457,공급차질,2
197,500만,2
344,SK그룹,2
24,10nm,2
644,디바이스,2
26,10나노미터,2
307,LCD,2
468,공지,2
171,46,2
480,관점,2
649,디자인,2
336,R&D,2
659,로이터통신,2
476,관광,2
639,등락률,2
331,PC,2
12,1.38,2
330,PBR,2
292,E&W,2
347,SK텔레콤,2
290,Double,2
483,광원,2
474,곽진오,2
13,1.41%,2
1355,종기원장,1
229,7.21%,1
1351,존스턴,1
230,7.32%,1
1348,조지아주,1
1349,조직,1
231,7.36%,1
232,7.44,1
187,5%,1
203,534,1
234,7.80%,1
1413,지적,1
233,7.67%,1
1333,제조업체,1
239,7기업은행,1
1420,직전,1
180,4세대,1
181,4월,1
1335,제한,1
183,4종,1
1336,조달청,1
238,780만,1
1338,조립라인,1
237,7150.00%,1
1340,조선,1
1416,직면,1
236,700만,1
1342,조선사들,1
184,4차,1
235,7.88%,1
1344,조선업종,1
1356,종류,1
1346,조업,1
185,4카카오,1
188,5.14%,1
191,5.62%,1
227,6아모레퍼시픽,1
215,6.45%,1
1374,주체,1
1375,주행,1
240,7넷,1
1399,지구촌,1
218,6.90%,1
199,51.85%,1
217,6.80%,1
1379,중견,1
1397,증산,1
214,5일,1
189,5.41,1
200,5100원,1
212,5억,1
208,578,1
207,567원,1
1387,중심,1
206,5600GT,1
201,512GB,1
202,526,1
1390,중점적,1
1373,주재원들,1
196,5000mAh,1
220,60만,1
1402,지능,1
1358,종목들,1
226,6메리츠종금증권,1
1360,종합,1
1361,종합기술원,1
1362,종합반도체,1
1364,주관,1
1393,증권사,1
1365,주당,1
224,6~7%,1
1407,지수,1
192,5.73%,1
1367,주도권,1
193,5.89%,1
223,64GB,1
222,640,1
221,6100억,1
194,5.91%,1
195,50%,1
1371,주의,1
219,605원,1
251,887,1
1331,제조라인,1
297,Extreme,1
1238,자택,1
1239,자회사,1
293,E1,1
1242,작전,1
1243,잠시,1
1245,장기,1
1246,장기간,1
284,CU,1
282,CJ그룹,1
1250,장악,1
281,CJ,1
1252,장중,1
1253,장착,1
1254,장치,1
1255,재가동,1
280,CC,1
1257,재계,1
1258,재고,1
1259,재달성,1
1260,재정,1
1261,재편,1
1262,재학,1
1263,재해구호협회,1
1264,저장용량,1
278,B등,1
1237,자취,1
1235,자정,1
1330,제조기업,1
1234,자재,1
310,LG디스플레이,1
1209,일시,1
1210,일시적,1
309,LGenius,1
1212,일주일,1
1213,일치,1
1214,일환,1
1215,임시,1
1216,임시기억장치,1
306,LCC,1
1219,입사,1
1220,입사지원서,1
1221,입장,1
1222,입지,1
305,KT&G,1
302,KDDI,1
300,IHS,1
299,GE,1
1227,자동차업계,1
298,GB,1
1229,자사,1
1230,자사주,1
1231,자산,1
1232,자산비율,1
1233,자율,1
1266,저해,1
276,BGF리테일,1
275,BGF,1
1270,전기,1
253,8K,1
1302,접근,1
1303,접사,1
1304,접속,1
1305,접수,1
252,8900억,1
250,859,1
1309,정밀,1
1310,정밀금형,1
1312,정보들,1
248,820원,1
247,808주,1
1315,정상화,1
1316,정원석,1
1317,정확,1
1319,제2,1
245,8.97%,1
244,8.56%,1
1322,제도,1
1323,제시,1
1324,제어,1
243,8.29,1
1326,제임스,1
242,8,1
1328,제작도,1
1300,점유,1
254,8만,1
1298,절반,1
1283,전송,1
1271,전기배선장치,1
273,ArFㆍ,1
1274,전년,1
270,ASML,1
269,AP,1
1277,전량,1
267,A75,1
265,A55,1
263,9시,1
262,9고려아연,1
1282,전반적,1
1284,전송속도,1
1297,절감,1
261,950원,1
260,908원,1
258,9.13%,1
257,9.09%,1
1290,전작,1
256,9%대,1
1292,전진기지,1
1293,전초기지,1
1294,전형,1
255,8삼성물산,1
1296,전후,1
1421,직접적,1
1440,철회,1
1422,진단,1
1583,하이닉스,1
63,15.39,1
62,15%,1
61,14일,1
1588,한국자동차산업연합회,1
1589,한국자동차협회,1
1591,한국타이어,1
59,14SK텔레콤,1
1593,한온시스템,1
58,14.89%,1
57,14.31%,1
1596,해결,1
1597,해상도,1
1598,해소,1
56,14.24%,1
55,14%,1
54,13일,1
1602,해외공장,1
1603,해외업체,1
1604,해외지사,1
53,13만,1
1606,행렬,1
1607,행보,1
1608,행사,1
52,13LG생활,1
51,135.4,1
50,1303억,1
49,13.91%,1
64,150.7,1
65,1500억,1
1614,헬리오,1
66,1501억,1
1553,폐쇄조치,1
81,19현대엘리베이,1
1555,포기,1
1556,포스코,1
79,19~20일,1
78,1987년,1
77,193nm,1
75,18억,1
1561,표현,1
1562,푸네,1
1563,풀가동,1
1564,품귀,1
73,184,1
1567,프로세서,1
72,183,1
1569,프리즘,1
71,17한국전력,1
70,17.67%,1
1572,플러스,1
1573,플레이,1
1574,피시,1
69,16KT,1
1576,필수,1
1577,필요성,1
68,1670선,1
67,15현대차,1
1580,하단,1
48,13.89%,1
1615,혁명,1
1423,진정,1
30,11.16%,1
23,100조,1
21,100%,1
