,키워드,빈도
71,전기,7
21,기업,7
88,트럭,6
5,CJ대한통운,6
95,화물차,5
93,현대차,5
47,수소전기트럭,4
45,수소,4
87,투입,4
11,검토,3
82,친환경차,3
19,군포,3
51,시범사업,3
74,전기화물차,3
92,현대글로비스,3
50,시범,3
73,전기트럭,2
25,물류,2
57,업계,2
72,전기차,2
39,사업,2
14,관계자,2
91,해외,2
77,차량,2
63,운행,1
64,울산,1
65,울산지역,1
0,10년,1
62,운영,1
61,온실,1
60,온라,1
67,이미지,1
59,옥천,1
58,엑시언트,1
56,양해각서,1
66,의사,1
76,지역,1
68,인몰,1
83,쿠팡,1
94,현장,1
90,한진,1
89,판단,1
86,택배터미널,1
85,택배업계,1
84,택배,1
81,충전소,1
69,적극,1
80,출시,1
79,최우선,1
78,체결,1
54,실증,1
75,주행거리,1
70,적합,1
55,실증사업,1
48,수출,1
53,신세계그룹,1
13,계획,1
24,등장,1
23,닷컴,1
22,내년,1
20,기아자동차,1
18,구매,1
17,구간,1
16,교체,1
15,관심,1
12,경기,1
52,신선,1
10,가스,1
9,SSG닷컴,1
8,SSG,1
7,MOU,1
6,FCEV,1
4,50대,1
3,2대,1
2,2030년,1
26,물류기업,1
27,물류업,1
28,물류업계,1
29,물류업체들,1
49,스위스,1
1,17일,1
46,수소전기차,1
44,수도,1
43,설치,1
42,선언,1
41,상품,1
40,상용,1
38,비상,1
37,봉고EV,1
36,보유,1
35,보급,1
34,배출량,1
33,배송,1
32,배달,1
31,방안,1
30,바람,1
96,확보,1
