,키워드,빈도
39,매수,6
28,기관,5
34,동사,4
62,전일,3
57,외국인,3
17,SK하이닉스,3
31,대량,3
75,하락,2
73,투자,2
60,저점,2
58,의견,2
53,애널리스트,2
52,실적,2
50,수준,2
40,메모리,2
29,기준,2
56,영향,2
78,회복,2
13,COVID-,2
12,BUY,2
15,DB금융투자,2
64,제시,1
10,761.5,1
9,735.5,1
54,업황,1
55,역사,1
8,5%,1
7,40.4%,1
6,34.8%,1
59,이슈,1
5,33.9%,1
61,전망,1
4,2분기,1
63,점진적,1
18,개인,1
11,940.9,1
65,제한적,1
66,종목,1
67,주가,1
68,주체,1
69,지속,1
70,지수,1
71,집중,1
72,추천,1
3,1분기,1
74,투자자들,1
2,105,1
76,한경로보뉴스,1
77,현시점,1
51,순매도,1
48,센터향,1
49,수요,1
19,개인들,1
20,거래비중,1
21,고점,1
22,관심,1
23,그동안,1
24,그래프,1
25,금융,1
26,급락,1
27,기간,1
16,PBR,1
30,단기,1
14,DB,1
32,대비,1
33,데이터,1
35,동향,1
36,레버리지,1
37,매매,1
38,매매동향,1
1,1,1
41,목표주,1
42,바탕,1
43,반등,1
44,비수기,1
45,비중,1
46,상승,1
47,생각,1
0,000원,1
