,키워드,빈도
15,HACCP,19
93,식품,17
34,관리,16
128,제조,12
13,CJ올리브네트웍스,11
31,공정,10
146,팩토리원,9
11,CJ,8
49,데이터,7
40,기록,7
91,스마트,7
152,해썹,7
118,자동화,6
55,디지털화,6
100,안전,5
99,실시간,5
30,공장,5
103,업체,4
66,발생,4
138,차트,4
113,인증,4
39,기관,4
87,솔루션,4
90,순매도,4
61,모니터링,4
98,신뢰성,4
117,자동,4
24,건강,3
83,상승,3
60,먹거리,3
64,문서,3
107,외국인,3
69,변조,3
134,주가,3
127,제일제당,3
125,제도,3
47,단기간,3
77,블록체인,3
121,적용,3
144,투명성,3
5,28일,3
9,CCP,3
28,골든크로스,3
36,구축,3
94,식품안전관리인증기준,3
10,CGV,3
95,식품업체,2
88,수기,2
65,바탕,2
89,수집,2
67,방법,2
92,식약처,2
63,모습,2
71,보안성,2
114,일반,2
106,올리브네트웍스,2
124,제공,2
86,서비스,2
85,생산성,2
1,10%,2
102,알람,2
80,사물인터넷,2
157,확인,2
109,원재료,2
136,중요관리공정,2
22,개인,2
19,가능,2
27,고객사,2
143,통계,2
149,품질,2
37,그래프,2
139,출시,2
41,기여,2
16,IoT,2
43,김응,2
20,각종,2
45,노하우,2
154,형성,2
6,3일,2
58,매물,2
132,종목,2
51,돌파,2
147,팩토리원HACCP,2
50,데이터들,2
48,대량,2
150,플랫폼,1
153,향상,1
155,형태,1
116,입출고,1
148,표준,1
156,확보,1
112,유통,1
115,일봉,1
151,한경로보뉴스,1
129,조기,1
145,투자자들,1
142,토대,1
141,클라우드,1
130,조리,1
119,자료,1
120,저장,1
137,집중,1
122,정보,1
123,정보기술,1
126,제어,1
135,주체,1
133,종합,1
111,위해요,1
131,조치,1
140,컴퓨터,1
0,1.6,1
110,위생,1
23,거래비중,1
44,내실,1
42,기준,1
38,기간,1
35,관심,1
33,공정상,1
32,공정개선,1
29,공유,1
26,계열사,1
25,경험,1
21,개선,1
52,동일,1
18,가공,1
17,SPC,1
14,DT,1
12,CJ그룹,1
8,73.2%,1
7,60일,1
4,20.2,1
3,18.5%,1
2,15.2,1
46,단계,1
53,동향,1
108,요소,1
76,블록체,1
105,예정,1
104,여부,1
101,안정적,1
97,식품회사,1
96,식품의약품안전처,1
84,생산량,1
82,사업,1
81,사실상,1
78,비용,1
75,불가능,1
54,디지털,1
74,부여,1
73,부담,1
72,보존,1
70,보안,1
68,방지,1
62,모듈,1
59,매수,1
57,매매동향,1
56,매매,1
79,비중,1
