,키워드,빈도
584,삼성전자,137
454,명장,37
577,삼성,33
489,반도체,30
212,갤럭시,26
971,제품,23
1090,카메라,22
1117,투자,21
627,선정,20
1075,출시,19
632,설비,18
688,스마트폰,18
759,에너지,17
535,분야,17
705,시리즈,17
261,공개,16
206,개인,15
641,세계,15
927,전문가,15
151,CES,15
761,에어컨,14
1230,효율,14
713,시장,14
475,미국,13
996,주주,13
1013,지분,13
276,공정,13
790,영상,13
205,개선,12
918,전략,12
983,주가,12
531,부회장,12
1053,최고,12
990,주식,12
604,생산,12
1183,핵심,12
653,소액,11
744,애플,11
1058,최대,11
1227,회장,11
805,온라인,11
754,언팩,11
967,제조,11
650,소비,11
1045,초대장,10
578,삼성SDI,10
960,제도,10
579,삼성디스플레이,10
48,1명,10
583,삼성전기,10
315,기관,10
147,AI,9
1017,지원,9
736,실적,9
357,노하우,9
1226,회사,9
1100,코로나19,9
921,전망,9
1186,행사,8
213,갤럭시S21,8
593,상업,8
622,선발,8
657,소장,8
62,2019년,8
563,사용,8
678,수준,8
559,사업부,8
201,강조,8
1115,통신,8
1157,품질,8
1211,화웨이,7
581,삼성명장,7
968,제조기술,7
726,신제품,7
1146,평택,7
802,오산천,7
1179,한국,7
250,고객,7
477,미래,7
757,업체,7
854,이날,7
562,사업장,6
1150,포인트,6
926,전문,6
142,8만,6
184,가능,6
876,인프라,6
957,정화,6
941,점유,6
458,모습,6
1119,투자자,6
1197,협력,6
755,업계,6
278,관계자,6
800,예정,6
1213,확대,6
712,시작,6
304,글로벌,6
1175,하천,6
687,스마트,6
455,모델,6
47,1등급,6
240,경쟁력,6
55,20%,6
1129,파운드리,6
183,가격,6
175,TV,6
866,이재용,6
238,경영,6
327,기준,6
126,6.5%,5
881,일상,5
296,규모,5
1123,특별,5
1222,활용,5
409,디자인,5
652,소비자들,5
784,열교환기,5
10,10만,5
937,절감,5
265,공급,5
266,공기,5
192,가전,5
211,개최,5
811,외국인,5
380,대표,5
59,200만,5
1194,현장,5
834,위기,5
456,모듈,5
580,삼성리서치,5
639,성능,5
236,경기,5
985,주도,5
145,9월,5
1005,증가,5
998,중국,5
249,계획,5
325,기여,5
180,kW,4
173,SP,4
1101,코로나바이러스,4
414,라인,4
231,격차,4
259,공간,4
279,관리,4
1062,최소화,4
1061,최소,4
300,그룹,4
309,금형,4
1054,최고가,4
314,기간,4
322,기업,4
323,기업가,4
1044,초격차,4
187,가드팬,4
1125,특허,4
1039,천장,4
1033,참석,4
1026,차세대,4
217,갤럭시에스,4
1025,차별화,4
208,개인투자자들,4
1009,증시,4
199,감염증,4
406,디스플레이,4
445,메모리,4
776,연구원,4
874,인치,4
31,14일,4
913,적용,4
703,시대,4
1152,포함,4
814,요구,4
903,장비,4
677,수자원,4
50,1억,4
891,자리,4
568,사장,4
849,육성,4
853,의미,4
590,상반기,4
591,상승,4
631,설명,4
873,인증,4
629,설계,4
1,0.6%,4
532,분기,4
119,5G,4
727,신종,4
933,전자,4
133,6명,4
501,방사,4
144,9명,4
962,제시,4
457,모바일,4
948,정신,4
723,신설,3
274,공유,3
319,기록,3
634,설비부문,3
739,아이폰,3
792,영업,3
646,센터,3
779,연구진,3
628,선행,3
860,이어폰,3
768,여파,3
617,서사시,3
793,영업이익,3
731,신화,3
838,위축,3
668,수량,3
794,영입,3
313,긍정적,3
798,예상,3
683,숙련도,3
691,스탠드,3
698,승현준,3
303,근무,3
288,구축,3
1040,첨단,3
1064,최신,3
809,외계인,3
708,시설,3
337,김명길,3
446,메모리사업부,3
863,이용,3
905,장중,3
402,동학개미,3
997,준비,3
911,저항,3
407,디스플레이사업부,3
520,보유,3
270,공세,3
494,반입식,3
943,정도,3
415,라인업,3
479,미만,3
466,무풍,3
463,무선,3
428,마이크,3
433,만큼,3
438,매수,3
966,제재,3
449,면적,3
1008,증권사,3
904,장인,3
865,이익,3
549,비중,3
869,인공지능,3
1036,채널,3
348,냉매,3
600,새해,3
356,노트,3
447,메시지,3
1024,집중,3
1022,진행,3
882,일정,3
570,사진,3
890,자동,3
1020,직원,3
368,단기,3
558,사업,3
556,사상,3
1015,지속적,3
897,자신감,3
273,공업용수,3
387,도약,3
220,거래일,3
1217,환경,3
188,가량,3
33,15개,3
246,계열사,3
136,7.1%,3
244,경험,3
1073,추정,3
1145,평균,3
235,겸비,3
45,1년,3
1109,탑재,3
54,2.9%,3
1198,협력회사,3
108,51,3
1193,현상,3
1189,혁신,3
102,4일,3
204,개미,3
90,3월,3
89,3분기,3
87,3명,3
218,거래,3
1216,확산,3
134,6월,3
1133,판단,3
169,S21,3
165,R&D,3
146,9조,3
9,10년,3
481,바람,2
156,EUV,2
560,사업부장,2
1159,프레스,2
557,사양,2
114,54.5%,2
898,자연,2
459,모터,2
107,50세,2
1131,파죽지세,2
901,자정,2
1156,풀이,2
548,비율,2
157,Epic,2
573,사회,2
888,입지,2
545,비메모리,2
885,임직원들,2
158,Everyday,2
1130,파운드리사업부,2
1166,플랫폼,2
161,LG,2
99,4분기,2
884,임직원,2
98,4명,2
94,40%,2
1172,하락장,2
964,제외,2
163,Normal,2
1155,표현,2
542,브랜드,2
1136,팔당호,2
909,재활용,2
485,박운영,2
945,정보통신,2
488,반년,2
141,8.7%,2
950,정용준,2
944,정보,2
492,반영,2
496,발송,2
939,점검,2
951,정의선,2
956,정호남,2
938,절반,2
470,물관리,2
150,Better,2
502,방식,2
958,제거,2
936,전작,2
510,번째,2
608,생태,2
514,변동,2
924,전망치,2
519,별도,2
467,문구,2
920,전력,2
1132,파트너사,2
914,적합,2
530,부품,2
154,D램,2
123,5세대,2
606,생산량,2
269,공략,2
609,생태계,2
611,생활,2
19,12월,2
735,실외기,2
796,영향,2
797,예년,2
1220,활동,2
728,신중,2
1219,환영,2
26,136만,2
720,신년사,2
719,신년,2
718,신기술,2
717,신규,2
806,완벽,2
711,시스템반도체,2
808,완제품,2
1210,화소,2
706,시무식,2
1224,회로,2
